name,taxonomy_id,taxonomy_lvl,kraken_assigned_reads,added_reads,new_est_reads,fraction_total_reads
Limnohabitans sp. 103DPR2,1678129,S,4434,3802,8236,0.005645403
Limnohabitans sp. 63ED37-2,1678128,S,3841,4739,8580,0.0058812
Acidovorax sp. KKS102,358220,S,1152,3760,4912,0.003366953
Acidovorax carolinensis,553814,S,478,2858,3336,0.002286676
Acidovorax sp. RAC01,1842533,S,116,327,443,0.000303656
Acidovorax sp. T1,1858609,S,111,1009,1120,0.000767709
Acidovorax ebreus,721785,S,93,11474,11567,0.007928652
Acidovorax avenae,80867,S,52,420,472,0.000323535
Acidovorax sp. JS42,232721,S,48,4461,4509,0.003090714
Variovorax sp. PAMC 28711,1795631,S,720,984,1704,0.001168014
Variovorax sp. PMC12,2126319,S,325,1161,1486,0.001018585
Variovorax paradoxus,34073,S,322,586,908,0.000622393
Variovorax sp. HW608,1034889,S,239,277,516,0.000353695
Variovorax boronicumulans,436515,S,123,456,579,0.000396878
Polaromonas naphthalenivorans,216465,S,782,1567,2349,0.001610133
Polaromonas sp. JS666,296591,S,251,389,640,0.000438691
Ottowia oryzae,2109914,S,1888,2790,4678,0.003206556
Ottowia sp. oral taxon 894,1658672,S,242,159,401,0.000274867
Verminephrobacter eiseniae,364317,S,1937,1773,3710,0.002543036
Comamonas testosteroni,285,S,808,369,1177,0.00080678
Comamonas aquatica,225991,S,399,885,1284,0.000880124
Comamonas kerstersii,225992,S,272,351,623,0.000427038
Comamonas serinivorans,1082851,S,75,96,171,0.000117213
Curvibacter sp. AEP1-3,1844971,S,1591,742,2333,0.001599165
Rhodoferax saidenbachensis,1484693,S,421,587,1008,0.000690938
Rhodoferax antarcticus,81479,S,245,258,503,0.000344784
Rhodoferax ferrireducens,192843,S,193,220,413,0.000283093
Rhodoferax koreense,1842727,S,58,135,193,0.000132293
Hydrogenophaga crassostreae,1763535,S,487,371,858,0.00058812
Hydrogenophaga sp. PBC,795665,S,253,963,1216,0.000833513
Hydrogenophaga sp. RAC07,1842537,S,78,192,270,0.000185073
Ramlibacter tataouinensis,94132,S,793,1253,2046,0.00140244
Simplicispira suum,2109915,S,575,924,1499,0.001027496
Comamonadaceae bacterium B1,1458426,S,216,441,657,0.000450344
Comamonadaceae bacterium A1,1458425,S,47,94,141,9.66E-05
Alicycliphilus denitrificans,179636,S,309,406,715,0.0004901
Delftia sp. Cs1-4,742013,S,50,461,511,0.000350267
Delftia tsuruhatensis,180282,S,13,64,77,5.28E-05
Delftia acidovorans,80866,S,10,70,80,5.48E-05
Melaminivora sp. SC2-9,2109913,S,164,494,658,0.000451029
Melaminivora sp. SC2-7,2116657,S,100,312,412,0.000282407
Candidatus Symbiobacter mobilis,1436290,S,212,33,245,0.000167936
Diaphorobacter polyhydroxybutyrativorans,1546149,S,149,16809,16958,0.011623938
Paucibacter sp. KCTC 42545,1768242,S,1476,2492,3968,0.002719884
Leptothrix cholodnii,34029,S,1046,3151,4197,0.002876853
Mitsuaria sp. 7,1658665,S,875,2072,2947,0.002020034
Methylibium petroleiphilum,105560,S,759,2067,2826,0.001937094
Rubrivivax gelatinosus,28068,S,681,2188,2869,0.001966569
Rhizobacter gummiphilus,946333,S,548,1138,1686,0.001155676
Aquabacterium olei,1296669,S,493,1238,1731,0.001186522
Roseateles depolymerans,76731,S,349,816,1165,0.000798555
Thiomonas sp. X19,1050370,S,105,180,285,0.000195355
Thiomonas intermedia,926,S,19,21,40,2.74E-05
[Polyangium] brachysporum,413882,S,682,1621,2303,0.001578602
Burkholderiales bacterium JOSHI_001,864051,S,344,918,1262,0.000865044
Burkholderiales bacterium YL45,1834205,S,154,15,169,0.000115842
Burkholderiales bacterium GJ-E10,1469502,S,45,14,59,4.04E-05
Collimonas arenae,279058,S,688,3317,4005,0.002745245
Collimonas fungivorans,158899,S,103,775,878,0.000601829
Collimonas pratensis,279113,S,14,133,147,0.000100762
Janthinobacterium agaricidamnosum,55508,S,1575,2758,4333,0.002970074
Janthinobacterium sp. B9-8,1236179,S,408,120,528,0.00036192
Janthinobacterium sp. LM6,1938606,S,231,1011,1242,0.000851335
Janthinobacterium svalbardensis,368607,S,113,416,529,0.000362605
Janthinobacterium sp. Marseille,375286,S,99,634,733,0.000502438
Janthinobacterium sp. 1_2014MBL_MicDiv,1644131,S,11,43,54,3.70E-05
Massilia violaceinigra,2045208,S,898,1512,2410,0.001651945
Massilia sp. NR 4-1,1678028,S,192,469,661,0.000453085
Massilia timonae,47229,S,169,424,593,0.000406475
Massilia sp. YMA4,1593482,S,98,779,877,0.000601144
Massilia sp. WG5,1707785,S,68,350,418,0.00028652
Massilia armeniaca,2072590,S,42,334,376,0.000257731
Massilia putida,1141883,S,24,92,116,7.95E-05
Herbaspirillum rubrisubalbicans,80842,S,42,60,102,6.99E-05
Herbaspirillum sp. meg3,2025949,S,24,27,51,3.50E-05
Herbaspirillum hiltneri,341045,S,23,43,66,4.52E-05
Herbaspirillum seropedicae,964,S,10,2374,2384,0.001634124
Herbaspirillum frisingense,92645,S,10,25,35,2.40E-05
Herminiimonas arsenicoxydans,204773,S,108,466,574,0.000393451
Herminiimonas arsenitoxidans,1809410,S,53,226,279,0.000191242
Oxalobacter formigenes,847,S,32,8,40,2.74E-05
Ralstonia pickettii,329,S,575,1390,1965,0.001346918
Ralstonia solanacearum,305,S,149,1047,1196,0.000819804
Ralstonia insidiosa,190721,S,55,38,93,6.37E-05
blood disease bacterium A2-HR MARDI,1944648,S,14,64,78,5.35E-05
Burkholderia pseudomallei,28450,S,574,164770,165344,0.113335792
Burkholderia thailandensis,57975,S,71,20601,20672,0.014169716
Burkholderia oklahomensis,342113,S,44,17,61,4.18E-05
Burkholderia mallei,13373,S,24,502,526,0.000360549
Burkholderia cenocepacia,95486,S,347,1162,1509,0.001034351
Burkholderia multivorans,87883,S,39,21,60,4.11E-05
Burkholderia vietnamiensis,60552,S,17,23,40,2.74E-05
Burkholderia cepacia,292,S,13,8,21,1.44E-05
Burkholderia ubonensis,101571,S,10,18,28,1.92E-05
Burkholderia glumae,337,S,55,206,261,0.000178904
Burkholderia sp. Bp7605,1740163,S,35,8,43,2.95E-05
Burkholderia insecticola,758793,S,14,3,17,1.17E-05
Polynucleobacter necessarius,576610,S,403,280,683,0.000468165
Polynucleobacter acidiphobus,556053,S,73,12,85,5.83E-05
Polynucleobacter duraquae,1835254,S,59,65,124,8.50E-05
Polynucleobacter asymbioticus,576611,S,47,237,284,0.000194669
Cupriavidus gilardii,82541,S,312,467,779,0.000533969
Cupriavidus metallidurans,119219,S,48,88,136,9.32E-05
Cupriavidus taiwanensis,164546,S,41,182,223,0.000152856
Cupriavidus basilensis,68895,S,10,8,18,1.23E-05
Hydromonas sp. F02,2268024,S,419,61,480,0.000329018
Paraburkholderia terricola,169427,S,87,31,118,8.09E-05
Paraburkholderia rhizoxinica,412963,S,72,11,83,5.69E-05
Paraburkholderia xenovorans,36873,S,70,61,131,8.98E-05
Paraburkholderia caledonica,134536,S,31,7,38,2.60E-05
Paraburkholderia aromaticivorans,2026199,S,22,13,35,2.40E-05
Paraburkholderia phenoliruptrix,252970,S,15,13,28,1.92E-05
Paraburkholderia terrae,311230,S,15,20,35,2.40E-05
Pandoraea thiooxydans,445709,S,68,175,243,0.000166565
Paucimonas lemoignei,29443,S,51,30,81,5.55E-05
Bordetella trematum,123899,S,35,40,75,5.14E-05
Bordetella sp. HZ20,2163011,S,16,4,20,1.37E-05
Bordetella pertussis,520,S,10,465,475,0.000325591
Achromobacter spanius,217203,S,42,67,109,7.47E-05
Achromobacter xylosoxidans,85698,S,23,177,200,0.000137091
Alcaligenes faecalis,511,S,112,77,189,0.000129551
Advenella kashmirensis,310575,S,10,128,138,9.46E-05
Castellaniella defragrans,75697,S,127,162,289,0.000198096
Oligella urethralis,90245,S,57,11,68,4.66E-05
Orrella dioscoreae,1851544,S,55,83,138,9.46E-05
Paenalcaligenes hominis,643674,S,47,8,55,3.77E-05
Basilea psittacipulmonis,1472345,S,45,9,54,3.70E-05
Taylorella equigenitalis,29575,S,28,1435,1463,0.00100282
Pusillimonas sp. T7-7,1007105,S,27,14,41,2.81E-05
Sutterella sp. 6FBBBH3,2259134,S,111,26,137,9.39E-05
Methylophilus sp. TWE2,1662285,S,1953,1591,3544,0.002429251
Methylotenera mobilis,359408,S,560,991,1551,0.00106314
Methylotenera versatilis,1055487,S,125,222,347,0.000237853
Candidatus Methylopumilus planktonicus,1581557,S,653,608,1261,0.000864358
Candidatus Methylopumilus turicensis,1581680,S,134,300,434,0.000297487
Methylobacillus flagellatus,405,S,14,21,35,2.40E-05
Nitrosomonas communis,44574,S,249,38,287,0.000196725
Nitrosomonas sp. Is79A3,261292,S,182,52,234,0.000160396
Nitrosomonas ureae,44577,S,83,181,264,0.00018096
Nitrosomonas eutropha,916,S,32,13,45,3.08E-05
Nitrosomonas europaea,915,S,12,8,20,1.37E-05
Nitrosospira lacus,1288494,S,17,63,80,5.48E-05
Sideroxydans lithotrophicus,63745,S,169,163,332,0.000227571
Sulfuricella denitrificans,649841,S,158,90,248,0.000169993
Gallionella capsiferriformans,370405,S,73,67,140,9.60E-05
Sulfuriferula sp. AH1,1985873,S,66,55,121,8.29E-05
Ferriphaselus amnicola,1188319,S,59,66,125,8.57E-05
Sulfuritalea hydrogenivorans,748811,S,126,168,294,0.000201524
Methyloversatilis sp. RAC08,1842540,S,87,92,179,0.000122696
Thiobacillus denitrificans,36861,S,132,127,259,0.000177533
Neisseria gonorrhoeae,485,S,276,156,432,0.000296116
Neisseria meningitidis,487,S,128,17909,18037,0.012363543
Neisseria elongata,495,S,125,61,186,0.000127495
Neisseria subflava,28449,S,119,29,148,0.000101447
