case,name,taxonomy_id,taxonomy_lvl,kraken_assigned_reads,added_reads,new_est_reads,fraction_total_reads,group,sex,log,n
17.unmapped,Polaromonas naphthalenivorans,216465,S,15744,41245,56989,0.01398,control,male,-1.854492829,1
17.unmapped,Polaromonas sp. JS666,296591,S,4080,7834,11914,0.00292,control,male,-2.534617149,1
17.unmapped,Rhodoferax antarcticus,81479,S,1960,2786,4746,0.00116,control,male,-2.935542011,1
17.unmapped,Rhodoferax ferrireducens,192843,S,1861,2782,4643,0.00114,control,male,-2.943095149,1
17.unmapped,Rhodoferax saidenbachensis,1484693,S,839,1882,2721,0.00067,control,male,-3.173925197,1
17.unmapped,Rhodoferax koreense,1842727,S,288,1276,1564,0.00038,control,male,-3.420216403,1
17.unmapped,Acidovorax sp. T1,1858609,S,385,7194,7579,0.00186,control,male,-2.730487056,1
17.unmapped,Acidovorax carolinensis,553814,S,288,4018,4306,0.00106,control,male,-2.974694135,1
17.unmapped,Acidovorax avenae,80867,S,130,2371,2501,0.00061,control,male,-3.214670165,1
17.unmapped,Acidovorax sp. KKS102,358220,S,95,717,812,2.00E-04,control,male,-3.698970004,1
17.unmapped,Acidovorax sp. RAC01,1842533,S,76,427,503,0.00012,control,male,-3.920818754,1
17.unmapped,Acidovorax sp. JS42,232721,S,40,9748,9788,0.0024,control,male,-2.619788758,1
17.unmapped,Limnohabitans sp. 103DPR2,1678129,S,3646,4446,8092,0.00198,control,male,-2.70333481,1
17.unmapped,Limnohabitans sp. 63ED37-2,1678128,S,3268,6699,9967,0.00244,control,male,-2.612610174,1
17.unmapped,Variovorax sp. PAMC 28711,1795631,S,2225,4993,7218,0.00177,control,male,-2.752026734,1
17.unmapped,Variovorax paradoxus,34073,S,1201,3490,4691,0.00115,control,male,-2.93930216,1
17.unmapped,Variovorax sp. PMC12,2126319,S,298,1336,1634,4.00E-04,control,male,-3.397940009,1
17.unmapped,Variovorax sp. HW608,1034889,S,205,388,593,0.00015,control,male,-3.823908741,1
17.unmapped,Variovorax boronicumulans,436515,S,172,780,952,0.00023,control,male,-3.638272164,1
17.unmapped,Simplicispira suum,2109915,S,3500,13245,16745,0.00411,control,male,-2.386158178,1
17.unmapped,Ottowia oryzae,2109914,S,2286,7780,10066,0.00247,control,male,-2.607303047,1
17.unmapped,Ottowia sp. oral taxon 894,1658672,S,894,1141,2035,5.00E-04,control,male,-3.301029996,1
17.unmapped,Hydrogenophaga crassostreae,1763535,S,1093,1116,2209,0.00054,control,male,-3.26760624,1
17.unmapped,Hydrogenophaga sp. PBC,795665,S,896,5626,6522,0.0016,control,male,-2.795880017,1
