"","name","case","taxonomy_id","taxonomy_lvl","kraken_assigned_reads","added_reads","new_est_reads","fraction_total_reads","group","sex","group_shuffle","name_rank","rank"
"1","[Eubacterium] hallii","18.unmapped",39488,"S",3674,1699,5373,9.85e-05,"control","male","control","Clostridia","class"
"2","[Eubacterium] hallii","17.unmapped",39488,"S",3428,1597,5025,0.000105332,"control","male","malt","Clostridia","class"
"3","[Eubacterium] hallii","19.unmapped",39488,"S",1711,854,2565,5.31e-05,"control","male","malt","Clostridia","class"
"4","[Eubacterium] hallii","28.unmapped",39488,"S",2971,1098,4069,4.8e-05,"malt","fem","control","Clostridia","class"
"5","[Eubacterium] hallii","29.unmapped",39488,"S",2423,1247,3670,7.28e-05,"malt","fem","malt","Clostridia","class"
"6","[Eubacterium] hallii","22.unmapped",39488,"S",3874,1690,5564,7.11e-05,"malt","male","control","Clostridia","class"
"7","[Eubacterium] rectale","18.unmapped",39491,"S",2419,927,3346,6.17e-05,"control","male","control","Clostridia","class"
"8","[Eubacterium] rectale","22.unmapped",39491,"S",3790,1430,5220,6.68e-05,"malt","male","control","Clostridia","class"
"9","[Eubacterium] rectale","27.unmapped",39491,"S",666,237,903,4.88e-05,"malt","fem","malt","Clostridia","class"
"10","[Eubacterium] rectale","17.unmapped",39491,"S",3028,1066,4094,8.56e-05,"control","male","malt","Clostridia","class"
"11","[Eubacterium] rectale","29.unmapped",39491,"S",2066,910,2976,5.91e-05,"malt","fem","malt","Clostridia","class"
"12","[Eubacterium] rectale","28.unmapped",39491,"S",4150,1100,5250,6.25e-05,"malt","fem","control","Clostridia","class"
"13","[Eubacterium] rectale","19.unmapped",39491,"S",2394,1026,3420,7.11e-05,"control","male","malt","Clostridia","class"
"14","[Polyangium] brachysporum","24.unmapped",413882,"S",1082,2948,4030,7.96e-05,"control","fem","control","Betaproteobacteria","class"
"15","[Polyangium] brachysporum","22.unmapped",413882,"S",927,3213,4140,5.31e-05,"malt","male","control","Betaproteobacteria","class"
"16","[Polyangium] brachysporum","23.unmapped",413882,"S",297,714,1011,7.11e-05,"malt","male","malt","Betaproteobacteria","class"
"17","[Polyangium] brachysporum","19.unmapped",413882,"S",719,2031,2750,5.74e-05,"control","male","malt","Betaproteobacteria","class"
"18","[Polyangium] brachysporum","28.unmapped",413882,"S",1150,3337,4487,5.31e-05,"malt","fem","control","Betaproteobacteria","class"
"19","[Polyangium] brachysporum","27.unmapped",413882,"S",332,898,1230,6.59e-05,"malt","fem","malt","Betaproteobacteria","class"
"20","[Polyangium] brachysporum","25.unmapped",413882,"S",916,1853,2769,6.85e-05,"control","fem","malt","Betaproteobacteria","class"
"21","[Polyangium] brachysporum","26.unmapped",413882,"S",1092,2794,3886,9.16e-05,"control","fem","control","Betaproteobacteria","class"
"22","[Polyangium] brachysporum","20.unmapped",413882,"S",1821,3718,5539,0.000121603,"control","male","control","Betaproteobacteria","class"
"23","[Polyangium] brachysporum","17.unmapped",413882,"S",513,1653,2166,4.54e-05,"control","male","malt","Betaproteobacteria","class"
"24","[Polyangium] brachysporum","21.unmapped",413882,"S",416,1051,1467,0.000106189,"malt","male","malt","Betaproteobacteria","class"
"25","[Polyangium] brachysporum","18.unmapped",413882,"S",642,2261,2903,5.31e-05,"control","male","control","Betaproteobacteria","class"
"26","[Polyangium] brachysporum","29.unmapped",413882,"S",520,1673,2193,4.37e-05,"malt","fem","malt","Betaproteobacteria","class"
"27","[Eubacterium] hallii","18.unmapped",39488,"S",3674,1699,5373,9.85e-05,"control","male","control","Firmicutes","phylum"
"28","[Eubacterium] hallii","17.unmapped",39488,"S",3428,1597,5025,0.000105332,"control","male","malt","Firmicutes","phylum"
"29","[Eubacterium] hallii","19.unmapped",39488,"S",1711,854,2565,5.31e-05,"control","male","malt","Firmicutes","phylum"
"30","[Eubacterium] hallii","28.unmapped",39488,"S",2971,1098,4069,4.8e-05,"malt","fem","control","Firmicutes","phylum"
"31","[Eubacterium] hallii","29.unmapped",39488,"S",2423,1247,3670,7.28e-05,"malt","fem","malt","Firmicutes","phylum"
"32","[Eubacterium] hallii","22.unmapped",39488,"S",3874,1690,5564,7.11e-05,"malt","male","control","Firmicutes","phylum"
"33","[Eubacterium] rectale","18.unmapped",39491,"S",2419,927,3346,6.17e-05,"control","male","control","Firmicutes","phylum"
"34","[Eubacterium] rectale","22.unmapped",39491,"S",3790,1430,5220,6.68e-05,"malt","male","control","Firmicutes","phylum"
"35","[Eubacterium] rectale","27.unmapped",39491,"S",666,237,903,4.88e-05,"malt","fem","malt","Firmicutes","phylum"
"36","[Eubacterium] rectale","17.unmapped",39491,"S",3028,1066,4094,8.56e-05,"control","male","malt","Firmicutes","phylum"
"37","[Eubacterium] rectale","29.unmapped",39491,"S",2066,910,2976,5.91e-05,"malt","fem","malt","Firmicutes","phylum"
"38","[Eubacterium] rectale","28.unmapped",39491,"S",4150,1100,5250,6.25e-05,"malt","fem","control","Firmicutes","phylum"
"39","[Eubacterium] rectale","19.unmapped",39491,"S",2394,1026,3420,7.11e-05,"control","male","malt","Firmicutes","phylum"
"40","[Polyangium] brachysporum","24.unmapped",413882,"S",1082,2948,4030,7.96e-05,"control","fem","control","Proteobacteria","phylum"
"41","[Polyangium] brachysporum","22.unmapped",413882,"S",927,3213,4140,5.31e-05,"malt","male","control","Proteobacteria","phylum"
"42","[Polyangium] brachysporum","23.unmapped",413882,"S",297,714,1011,7.11e-05,"malt","male","malt","Proteobacteria","phylum"
"43","[Polyangium] brachysporum","19.unmapped",413882,"S",719,2031,2750,5.74e-05,"control","male","malt","Proteobacteria","phylum"
"44","[Polyangium] brachysporum","28.unmapped",413882,"S",1150,3337,4487,5.31e-05,"malt","fem","control","Proteobacteria","phylum"
"45","[Polyangium] brachysporum","27.unmapped",413882,"S",332,898,1230,6.59e-05,"malt","fem","malt","Proteobacteria","phylum"
"46","[Polyangium] brachysporum","25.unmapped",413882,"S",916,1853,2769,6.85e-05,"control","fem","malt","Proteobacteria","phylum"
"47","[Polyangium] brachysporum","26.unmapped",413882,"S",1092,2794,3886,9.16e-05,"control","fem","control","Proteobacteria","phylum"
"48","[Polyangium] brachysporum","20.unmapped",413882,"S",1821,3718,5539,0.000121603,"control","male","control","Proteobacteria","phylum"
"49","[Polyangium] brachysporum","17.unmapped",413882,"S",513,1653,2166,4.54e-05,"control","male","malt","Proteobacteria","phylum"
"50","[Polyangium] brachysporum","21.unmapped",413882,"S",416,1051,1467,0.000106189,"malt","male","malt","Proteobacteria","phylum"
"51","[Polyangium] brachysporum","18.unmapped",413882,"S",642,2261,2903,5.31e-05,"control","male","control","Proteobacteria","phylum"
"52","[Polyangium] brachysporum","29.unmapped",413882,"S",520,1673,2193,4.37e-05,"malt","fem","malt","Proteobacteria","phylum"
"53","Acaryochloris marina","20.unmapped",155978,"S",1589,1069,2658,5.82e-05,"control","male","control","Terrabacteria group","clade"
"54","Acaryochloris marina","20.unmapped",155978,"S",1589,1069,2658,5.82e-05,"control","male","control","Acaryochloridaceae","family"
"55","Acaryochloris marina","20.unmapped",155978,"S",1589,1069,2658,5.82e-05,"control","male","control","Bacteria","superkingdom"
"56","Acaryochloris marina","20.unmapped",155978,"S",1589,1069,2658,5.82e-05,"control","male","control","Cyanobacteria/Melainabacteria group","clade"
"57","Acaryochloris marina","20.unmapped",155978,"S",1589,1069,2658,5.82e-05,"control","male","control","Acaryochloris","genus"
"58","Acaryochloris marina","20.unmapped",155978,"S",1589,1069,2658,5.82e-05,"control","male","control","Cyanobacteria","phylum"
"59","Acaryochloris marina","20.unmapped",155978,"S",1589,1069,2658,5.82e-05,"control","male","control","Acaryochloris marina","species"
"60","Acaryochloris marina","20.unmapped",155978,"S",1589,1069,2658,5.82e-05,"control","male","control","Synechococcales","order"
"61","Acaryochloris marina","20.unmapped",155978,"S",1589,1069,2658,5.82e-05,"control","male","control","cellular organisms","no rank"
"62","Acaryochloris marina","21.unmapped",155978,"S",370,295,665,4.8e-05,"malt","male","malt","Terrabacteria group","clade"
"63","Acaryochloris marina","21.unmapped",155978,"S",370,295,665,4.8e-05,"malt","male","malt","Acaryochloridaceae","family"
"64","Acaryochloris marina","21.unmapped",155978,"S",370,295,665,4.8e-05,"malt","male","malt","Bacteria","superkingdom"
"65","Acaryochloris marina","21.unmapped",155978,"S",370,295,665,4.8e-05,"malt","male","malt","Cyanobacteria/Melainabacteria group","clade"
"66","Acaryochloris marina","21.unmapped",155978,"S",370,295,665,4.8e-05,"malt","male","malt","Acaryochloris","genus"
"67","Acaryochloris marina","21.unmapped",155978,"S",370,295,665,4.8e-05,"malt","male","malt","Cyanobacteria","phylum"
"68","Acaryochloris marina","21.unmapped",155978,"S",370,295,665,4.8e-05,"malt","male","malt","Acaryochloris marina","species"
"69","Acaryochloris marina","21.unmapped",155978,"S",370,295,665,4.8e-05,"malt","male","malt","Synechococcales","order"
"70","Acaryochloris marina","21.unmapped",155978,"S",370,295,665,4.8e-05,"malt","male","malt","cellular organisms","no rank"
"71","Acaryochloris marina","26.unmapped",155978,"S",1552,1165,2717,6.42e-05,"control","fem","control","Terrabacteria group","clade"
"72","Acaryochloris marina","26.unmapped",155978,"S",1552,1165,2717,6.42e-05,"control","fem","control","Acaryochloridaceae","family"
"73","Acaryochloris marina","26.unmapped",155978,"S",1552,1165,2717,6.42e-05,"control","fem","control","Bacteria","superkingdom"
"74","Acaryochloris marina","26.unmapped",155978,"S",1552,1165,2717,6.42e-05,"control","fem","control","Cyanobacteria/Melainabacteria group","clade"
"75","Acaryochloris marina","26.unmapped",155978,"S",1552,1165,2717,6.42e-05,"control","fem","control","Acaryochloris","genus"
"76","Acaryochloris marina","26.unmapped",155978,"S",1552,1165,2717,6.42e-05,"control","fem","control","Cyanobacteria","phylum"
"77","Acaryochloris marina","26.unmapped",155978,"S",1552,1165,2717,6.42e-05,"control","fem","control","Acaryochloris marina","species"
"78","Acaryochloris marina","26.unmapped",155978,"S",1552,1165,2717,6.42e-05,"control","fem","control","Synechococcales","order"
"79","Acaryochloris marina","26.unmapped",155978,"S",1552,1165,2717,6.42e-05,"control","fem","control","cellular organisms","no rank"
"80","Acetobacter pomorum","20.unmapped",65959,"S",89,1876,1965,4.28e-05,"control","male","control","cellular organisms","no rank"
"81","Acetobacter pomorum","20.unmapped",65959,"S",89,1876,1965,4.28e-05,"control","male","control","Bacteria","superkingdom"
"82","Acetobacter pomorum","20.unmapped",65959,"S",89,1876,1965,4.28e-05,"control","male","control","Alphaproteobacteria","class"
"83","Acetobacter pomorum","20.unmapped",65959,"S",89,1876,1965,4.28e-05,"control","male","control","Rhodospirillales","order"
"84","Acetobacter pomorum","20.unmapped",65959,"S",89,1876,1965,4.28e-05,"control","male","control","Acetobacteraceae","family"
"85","Acetobacter pomorum","20.unmapped",65959,"S",89,1876,1965,4.28e-05,"control","male","control","Proteobacteria","phylum"
"86","Acetobacter pomorum","20.unmapped",65959,"S",89,1876,1965,4.28e-05,"control","male","control","Acetobacter pomorum","species"
"87","Acetobacter pomorum","20.unmapped",65959,"S",89,1876,1965,4.28e-05,"control","male","control","Acetobacter","genus"
"88","Acidimicrobium ferrooxidans","29.unmapped",53635,"S",2434,66,2500,4.97e-05,"malt","fem","malt","Acidimicrobiia","class"
"89","Acidimicrobium ferrooxidans","29.unmapped",53635,"S",2434,66,2500,4.97e-05,"malt","fem","malt","Terrabacteria group","clade"
"90","Acidimicrobium ferrooxidans","29.unmapped",53635,"S",2434,66,2500,4.97e-05,"malt","fem","malt","Acidimicrobiaceae","family"
"91","Acidimicrobium ferrooxidans","29.unmapped",53635,"S",2434,66,2500,4.97e-05,"malt","fem","malt","Acidimicrobiales","order"
"92","Acidimicrobium ferrooxidans","29.unmapped",53635,"S",2434,66,2500,4.97e-05,"malt","fem","malt","Bacteria","superkingdom"
"93","Acidimicrobium ferrooxidans","29.unmapped",53635,"S",2434,66,2500,4.97e-05,"malt","fem","malt","Actinobacteria","phylum"
"94","Acidimicrobium ferrooxidans","29.unmapped",53635,"S",2434,66,2500,4.97e-05,"malt","fem","malt","Acidimicrobium","genus"
"95","Acidimicrobium ferrooxidans","29.unmapped",53635,"S",2434,66,2500,4.97e-05,"malt","fem","malt","cellular organisms","no rank"
"96","Acidimicrobium ferrooxidans","29.unmapped",53635,"S",2434,66,2500,4.97e-05,"malt","fem","malt","Acidimicrobium ferrooxidans","species"
"97","Acidimicrobium ferrooxidans","22.unmapped",53635,"S",4147,116,4263,5.4e-05,"malt","male","control","Acidimicrobiia","class"
"98","Acidimicrobium ferrooxidans","22.unmapped",53635,"S",4147,116,4263,5.4e-05,"malt","male","control","Terrabacteria group","clade"
"99","Acidimicrobium ferrooxidans","22.unmapped",53635,"S",4147,116,4263,5.4e-05,"malt","male","control","Acidimicrobiaceae","family"
"100","Acidimicrobium ferrooxidans","22.unmapped",53635,"S",4147,116,4263,5.4e-05,"malt","male","control","Acidimicrobiales","order"
"101","Acidimicrobium ferrooxidans","22.unmapped",53635,"S",4147,116,4263,5.4e-05,"malt","male","control","Bacteria","superkingdom"
"102","Acidimicrobium ferrooxidans","22.unmapped",53635,"S",4147,116,4263,5.4e-05,"malt","male","control","Actinobacteria","phylum"
"103","Acidimicrobium ferrooxidans","22.unmapped",53635,"S",4147,116,4263,5.4e-05,"malt","male","control","Acidimicrobium","genus"
"104","Acidimicrobium ferrooxidans","22.unmapped",53635,"S",4147,116,4263,5.4e-05,"malt","male","control","cellular organisms","no rank"
"105","Acidimicrobium ferrooxidans","22.unmapped",53635,"S",4147,116,4263,5.4e-05,"malt","male","control","Acidimicrobium ferrooxidans","species"
"106","Acidimicrobium ferrooxidans","28.unmapped",53635,"S",3769,171,3940,4.62e-05,"malt","fem","control","Acidimicrobiia","class"
"107","Acidimicrobium ferrooxidans","28.unmapped",53635,"S",3769,171,3940,4.62e-05,"malt","fem","control","Terrabacteria group","clade"
"108","Acidimicrobium ferrooxidans","28.unmapped",53635,"S",3769,171,3940,4.62e-05,"malt","fem","control","Acidimicrobiaceae","family"
"109","Acidimicrobium ferrooxidans","28.unmapped",53635,"S",3769,171,3940,4.62e-05,"malt","fem","control","Acidimicrobiales","order"
"110","Acidimicrobium ferrooxidans","28.unmapped",53635,"S",3769,171,3940,4.62e-05,"malt","fem","control","Bacteria","superkingdom"
"111","Acidimicrobium ferrooxidans","28.unmapped",53635,"S",3769,171,3940,4.62e-05,"malt","fem","control","Actinobacteria","phylum"
"112","Acidimicrobium ferrooxidans","28.unmapped",53635,"S",3769,171,3940,4.62e-05,"malt","fem","control","Acidimicrobium","genus"
"113","Acidimicrobium ferrooxidans","28.unmapped",53635,"S",3769,171,3940,4.62e-05,"malt","fem","control","cellular organisms","no rank"
"114","Acidimicrobium ferrooxidans","28.unmapped",53635,"S",3769,171,3940,4.62e-05,"malt","fem","control","Acidimicrobium ferrooxidans","species"
"115","Acidovorax avenae","22.unmapped",80867,"S",298,4860,5158,6.59e-05,"malt","male","control","Acidovorax","genus"
