name,rank,id,species
cellular organisms,no rank,131567,Polaromonas naphthalenivorans
Bacteria,superkingdom,2,Polaromonas naphthalenivorans
Pseudomonadota,phylum,1224,Polaromonas naphthalenivorans
Betaproteobacteria,class,28216,Polaromonas naphthalenivorans
Burkholderiales,order,80840,Polaromonas naphthalenivorans
Comamonadaceae,family,80864,Polaromonas naphthalenivorans
Polaromonas,genus,52972,Polaromonas naphthalenivorans
Polaromonas naphthalenivorans,species,216465,Polaromonas naphthalenivorans
cellular organisms,no rank,131567,Polaromonas sp. JS666
Bacteria,superkingdom,2,Polaromonas sp. JS666
Pseudomonadota,phylum,1224,Polaromonas sp. JS666
Betaproteobacteria,class,28216,Polaromonas sp. JS666
Burkholderiales,order,80840,Polaromonas sp. JS666
Comamonadaceae,family,80864,Polaromonas sp. JS666
Polaromonas,genus,52972,Polaromonas sp. JS666
unclassified Polaromonas,no rank,2638319,Polaromonas sp. JS666
Polaromonas sp. JS666,species,296591,Polaromonas sp. JS666
cellular organisms,no rank,131567,Rhodoferax antarcticus
Bacteria,superkingdom,2,Rhodoferax antarcticus
Pseudomonadota,phylum,1224,Rhodoferax antarcticus
Betaproteobacteria,class,28216,Rhodoferax antarcticus
Burkholderiales,order,80840,Rhodoferax antarcticus
Comamonadaceae,family,80864,Rhodoferax antarcticus
Rhodoferax,genus,28065,Rhodoferax antarcticus
Rhodoferax antarcticus,species,81479,Rhodoferax antarcticus
cellular organisms,no rank,131567,Rhodoferax ferrireducens
Bacteria,superkingdom,2,Rhodoferax ferrireducens
Pseudomonadota,phylum,1224,Rhodoferax ferrireducens
Betaproteobacteria,class,28216,Rhodoferax ferrireducens
Burkholderiales,order,80840,Rhodoferax ferrireducens
Comamonadaceae,family,80864,Rhodoferax ferrireducens
Rhodoferax,genus,28065,Rhodoferax ferrireducens
Rhodoferax ferrireducens,species,192843,Rhodoferax ferrireducens
cellular organisms,no rank,131567,Rhodoferax saidenbachensis
Bacteria,superkingdom,2,Rhodoferax saidenbachensis
Pseudomonadota,phylum,1224,Rhodoferax saidenbachensis
Betaproteobacteria,class,28216,Rhodoferax saidenbachensis
Burkholderiales,order,80840,Rhodoferax saidenbachensis
Comamonadaceae,family,80864,Rhodoferax saidenbachensis
Rhodoferax,genus,28065,Rhodoferax saidenbachensis
Rhodoferax saidenbachensis,species,1484693,Rhodoferax saidenbachensis
cellular organisms,no rank,131567,Acidovorax sp. T1
Bacteria,superkingdom,2,Acidovorax sp. T1
Pseudomonadota,phylum,1224,Acidovorax sp. T1
Betaproteobacteria,class,28216,Acidovorax sp. T1
Burkholderiales,order,80840,Acidovorax sp. T1
Comamonadaceae,family,80864,Acidovorax sp. T1
Acidovorax,genus,12916,Acidovorax sp. T1
unclassified Acidovorax,no rank,2684926,Acidovorax sp. T1
Acidovorax sp. T1,species,1858609,Acidovorax sp. T1
cellular organisms,no rank,131567,Acidovorax carolinensis
Bacteria,superkingdom,2,Acidovorax carolinensis
Pseudomonadota,phylum,1224,Acidovorax carolinensis
Betaproteobacteria,class,28216,Acidovorax carolinensis
Burkholderiales,order,80840,Acidovorax carolinensis
Comamonadaceae,family,80864,Acidovorax carolinensis
Acidovorax,genus,12916,Acidovorax carolinensis
Acidovorax carolinensis,species,553814,Acidovorax carolinensis
cellular organisms,no rank,131567,Acidovorax avenae
Bacteria,superkingdom,2,Acidovorax avenae
Pseudomonadota,phylum,1224,Acidovorax avenae
Betaproteobacteria,class,28216,Acidovorax avenae
Burkholderiales,order,80840,Acidovorax avenae
Comamonadaceae,family,80864,Acidovorax avenae
Acidovorax,genus,12916,Acidovorax avenae
Acidovorax avenae,species,80867,Acidovorax avenae
cellular organisms,no rank,131567,Acidovorax sp. KKS102
Bacteria,superkingdom,2,Acidovorax sp. KKS102
Pseudomonadota,phylum,1224,Acidovorax sp. KKS102
Betaproteobacteria,class,28216,Acidovorax sp. KKS102
Burkholderiales,order,80840,Acidovorax sp. KKS102
Comamonadaceae,family,80864,Acidovorax sp. KKS102
Acidovorax,genus,12916,Acidovorax sp. KKS102
unclassified Acidovorax,no rank,2684926,Acidovorax sp. KKS102
Acidovorax sp. KKS102,species,358220,Acidovorax sp. KKS102
cellular organisms,no rank,131567,Acidovorax sp. RAC01
Bacteria,superkingdom,2,Acidovorax sp. RAC01
Pseudomonadota,phylum,1224,Acidovorax sp. RAC01
Betaproteobacteria,class,28216,Acidovorax sp. RAC01
Burkholderiales,order,80840,Acidovorax sp. RAC01
Comamonadaceae,family,80864,Acidovorax sp. RAC01
Acidovorax,genus,12916,Acidovorax sp. RAC01
unclassified Acidovorax,no rank,2684926,Acidovorax sp. RAC01
Acidovorax sp. RAC01,species,1842533,Acidovorax sp. RAC01
cellular organisms,no rank,131567,Limnohabitans sp. 103DPR2
Bacteria,superkingdom,2,Limnohabitans sp. 103DPR2
Pseudomonadota,phylum,1224,Limnohabitans sp. 103DPR2
Betaproteobacteria,class,28216,Limnohabitans sp. 103DPR2
Burkholderiales,order,80840,Limnohabitans sp. 103DPR2
Comamonadaceae,family,80864,Limnohabitans sp. 103DPR2
Limnohabitans,genus,665874,Limnohabitans sp. 103DPR2
unclassified Limnohabitans,no rank,2626134,Limnohabitans sp. 103DPR2
Limnohabitans sp. 103DPR2,species,1678129,Limnohabitans sp. 103DPR2
cellular organisms,no rank,131567,Limnohabitans sp. 63ED37-2
Bacteria,superkingdom,2,Limnohabitans sp. 63ED37-2
Pseudomonadota,phylum,1224,Limnohabitans sp. 63ED37-2
Betaproteobacteria,class,28216,Limnohabitans sp. 63ED37-2
Burkholderiales,order,80840,Limnohabitans sp. 63ED37-2
Comamonadaceae,family,80864,Limnohabitans sp. 63ED37-2
Limnohabitans,genus,665874,Limnohabitans sp. 63ED37-2
unclassified Limnohabitans,no rank,2626134,Limnohabitans sp. 63ED37-2
Limnohabitans sp. 63ED37-2,species,1678128,Limnohabitans sp. 63ED37-2
cellular organisms,no rank,131567,Variovorax sp. PAMC 28711
Bacteria,superkingdom,2,Variovorax sp. PAMC 28711
Pseudomonadota,phylum,1224,Variovorax sp. PAMC 28711
Betaproteobacteria,class,28216,Variovorax sp. PAMC 28711
Burkholderiales,order,80840,Variovorax sp. PAMC 28711
Comamonadaceae,family,80864,Variovorax sp. PAMC 28711
Variovorax,genus,34072,Variovorax sp. PAMC 28711
unclassified Variovorax,no rank,663243,Variovorax sp. PAMC 28711
Variovorax sp. PAMC 28711,species,1795631,Variovorax sp. PAMC 28711
cellular organisms,no rank,131567,Variovorax paradoxus
Bacteria,superkingdom,2,Variovorax paradoxus
Pseudomonadota,phylum,1224,Variovorax paradoxus
Betaproteobacteria,class,28216,Variovorax paradoxus
Burkholderiales,order,80840,Variovorax paradoxus
Comamonadaceae,family,80864,Variovorax paradoxus
Variovorax,genus,34072,Variovorax paradoxus
Variovorax paradoxus,species,34073,Variovorax paradoxus
cellular organisms,no rank,131567,Variovorax sp. HW608
Bacteria,superkingdom,2,Variovorax sp. HW608
Pseudomonadota,phylum,1224,Variovorax sp. HW608
Betaproteobacteria,class,28216,Variovorax sp. HW608
Burkholderiales,order,80840,Variovorax sp. HW608
Comamonadaceae,family,80864,Variovorax sp. HW608
Variovorax,genus,34072,Variovorax sp. HW608
unclassified Variovorax,no rank,663243,Variovorax sp. HW608
Variovorax sp. HW608,species,1034889,Variovorax sp. HW608
cellular organisms,no rank,131567,Simplicispira suum
Bacteria,superkingdom,2,Simplicispira suum
Pseudomonadota,phylum,1224,Simplicispira suum
Betaproteobacteria,class,28216,Simplicispira suum
Burkholderiales,order,80840,Simplicispira suum
Comamonadaceae,family,80864,Simplicispira suum
Simplicispira,genus,352450,Simplicispira suum
Simplicispira suum,species,2109915,Simplicispira suum
cellular organisms,no rank,131567,Ottowia oryzae
Bacteria,superkingdom,2,Ottowia oryzae
Pseudomonadota,phylum,1224,Ottowia oryzae
Betaproteobacteria,class,28216,Ottowia oryzae
Burkholderiales,order,80840,Ottowia oryzae
Comamonadaceae,family,80864,Ottowia oryzae
Ottowia,genus,219181,Ottowia oryzae
Ottowia oryzae,species,2109914,Ottowia oryzae
cellular organisms,no rank,131567,Ottowia sp. oral taxon 894
Bacteria,superkingdom,2,Ottowia sp. oral taxon 894
Pseudomonadota,phylum,1224,Ottowia sp. oral taxon 894
Betaproteobacteria,class,28216,Ottowia sp. oral taxon 894
Burkholderiales,order,80840,Ottowia sp. oral taxon 894
Comamonadaceae,family,80864,Ottowia sp. oral taxon 894
Ottowia,genus,219181,Ottowia sp. oral taxon 894
unclassified Ottowia,no rank,2645081,Ottowia sp. oral taxon 894
Ottowia sp. oral taxon 894,species,1658672,Ottowia sp. oral taxon 894
cellular organisms,no rank,131567,Hydrogenophaga crassostreae
Bacteria,superkingdom,2,Hydrogenophaga crassostreae
Pseudomonadota,phylum,1224,Hydrogenophaga crassostreae
Betaproteobacteria,class,28216,Hydrogenophaga crassostreae
Burkholderiales,order,80840,Hydrogenophaga crassostreae
Comamonadaceae,family,80864,Hydrogenophaga crassostreae
Hydrogenophaga,genus,47420,Hydrogenophaga crassostreae
Hydrogenophaga crassostreae,species,1763535,Hydrogenophaga crassostreae
cellular organisms,no rank,131567,Hydrogenophaga sp. PBC
Bacteria,superkingdom,2,Hydrogenophaga sp. PBC
Pseudomonadota,phylum,1224,Hydrogenophaga sp. PBC
Betaproteobacteria,class,28216,Hydrogenophaga sp. PBC
Burkholderiales,order,80840,Hydrogenophaga sp. PBC
Comamonadaceae,family,80864,Hydrogenophaga sp. PBC
Hydrogenophaga,genus,47420,Hydrogenophaga sp. PBC
unclassified Hydrogenophaga,no rank,2610897,Hydrogenophaga sp. PBC
Hydrogenophaga sp. PBC,species,795665,Hydrogenophaga sp. PBC
cellular organisms,no rank,131567,Hydrogenophaga sp. RAC07
Bacteria,superkingdom,2,Hydrogenophaga sp. RAC07
Pseudomonadota,phylum,1224,Hydrogenophaga sp. RAC07
Betaproteobacteria,class,28216,Hydrogenophaga sp. RAC07
Burkholderiales,order,80840,Hydrogenophaga sp. RAC07
Comamonadaceae,family,80864,Hydrogenophaga sp. RAC07
Hydrogenophaga,genus,47420,Hydrogenophaga sp. RAC07
unclassified Hydrogenophaga,no rank,2610897,Hydrogenophaga sp. RAC07
Hydrogenophaga sp. RAC07,species,1842537,Hydrogenophaga sp. RAC07
cellular organisms,no rank,131567,Comamonas testosteroni
Bacteria,superkingdom,2,Comamonas testosteroni
Pseudomonadota,phylum,1224,Comamonas testosteroni
Betaproteobacteria,class,28216,Comamonas testosteroni
Burkholderiales,order,80840,Comamonas testosteroni
Comamonadaceae,family,80864,Comamonas testosteroni
Comamonas,genus,283,Comamonas testosteroni
Comamonas testosteroni,species,285,Comamonas testosteroni
cellular organisms,no rank,131567,Comamonas kerstersii
Bacteria,superkingdom,2,Comamonas kerstersii
Pseudomonadota,phylum,1224,Comamonas kerstersii
Betaproteobacteria,class,28216,Comamonas kerstersii
Burkholderiales,order,80840,Comamonas kerstersii
Comamonadaceae,family,80864,Comamonas kerstersii
Comamonas,genus,283,Comamonas kerstersii
Comamonas kerstersii,species,225992,Comamonas kerstersii
cellular organisms,no rank,131567,Comamonas aquatica
Bacteria,superkingdom,2,Comamonas aquatica
Pseudomonadota,phylum,1224,Comamonas aquatica
Betaproteobacteria,class,28216,Comamonas aquatica
Burkholderiales,order,80840,Comamonas aquatica
Comamonadaceae,family,80864,Comamonas aquatica
Comamonas,genus,283,Comamonas aquatica
Comamonas aquatica,species,225991,Comamonas aquatica
cellular organisms,no rank,131567,Curvibacter sp. AEP1-3
Bacteria,superkingdom,2,Curvibacter sp. AEP1-3
Pseudomonadota,phylum,1224,Curvibacter sp. AEP1-3
Betaproteobacteria,class,28216,Curvibacter sp. AEP1-3
Burkholderiales,order,80840,Curvibacter sp. AEP1-3
Comamonadaceae,family,80864,Curvibacter sp. AEP1-3
Curvibacter,genus,281915,Curvibacter sp. AEP1-3
unclassified Curvibacter,no rank,2685271,Curvibacter sp. AEP1-3
Curvibacter sp. AEP1-3,species,1844971,Curvibacter sp. AEP1-3
cellular organisms,no rank,131567,Verminephrobacter eiseniae
