name,rank,species
Terrabacteria group,clade,Acaryochloris marina
Cyanobacteria/Melainabacteria group,clade,Acaryochloris marina
Terrabacteria group,clade,Acidimicrobium ferrooxidans
Terrabacteria group,clade,Actinobacteria bacterium IMCC26256
Terrabacteria group,clade,Actinomyces hongkongensis
Terrabacteria group,clade,Actinomyces oris
Terrabacteria group,clade,Actinoplanes derwentensis
Terrabacteria group,clade,Actinoplanes sp. SE50
Terrabacteria group,clade,Actinoplanes sp. SE50/110
Terrabacteria group,clade,Actinopolyspora erythraea
Terrabacteria group,clade,Aerococcus urinaehominis
Terrabacteria group,clade,Agrococcus carbonis
Terrabacteria group,clade,Agrococcus jejuensis
PVC group,clade,Akkermansia muciniphila
FCB group,clade,Alistipes shahii
Bacteroidetes/Chlorobi group,clade,Alistipes shahii
FCB group,clade,Alkalitalea saponilacus
Bacteroidetes/Chlorobi group,clade,Alkalitalea saponilacus
Terrabacteria group,clade,Anabaena cylindrica
Cyanobacteria/Melainabacteria group,clade,Anabaena cylindrica
Terrabacteria group,clade,Anabaena sp. WA102
Cyanobacteria/Melainabacteria group,clade,Anabaena sp. WA102
Terrabacteria group,clade,Anaerococcus mediterraneensis
Terrabacteria group,clade,Anaerococcus prevotii
Terrabacteria group,clade,Anaerolinea thermophila
Terrabacteria group,clade,Anaerostipes hadrus
FCB group,clade,Arachidicoccus sp. BS20
Bacteroidetes/Chlorobi group,clade,Arachidicoccus sp. BS20
FCB group,clade,Arachidicoccus sp. KIS59-12
Bacteroidetes/Chlorobi group,clade,Arachidicoccus sp. KIS59-12
Terrabacteria group,clade,Arcanobacterium haemolyticum
FCB group,clade,Arenibacter algicola
Bacteroidetes/Chlorobi group,clade,Arenibacter algicola
Terrabacteria group,clade,Arthrobacter sp. Rue61a
Terrabacteria group,clade,Arthrobacter sp. YC-RL1
Terrabacteria group,clade,Aurantimicrobium sp. MWH-Mo1
Riboviria,clade,Baboon endogenous virus
Terrabacteria group,clade,Bacillus anthracis
Terrabacteria group,clade,Bacillus atrophaeus
Terrabacteria group,clade,Bacillus cereus
Terrabacteria group,clade,Bacillus sp. FJAT-14266
Terrabacteria group,clade,Bacillus sp. Lzh-5
Terrabacteria group,clade,Bacillus subtilis
Terrabacteria group,clade,Bacillus thuringiensis
Terrabacteria group,clade,Bacillus velezensis
FCB group,clade,Bacteroides dorei
Bacteroidetes/Chlorobi group,clade,Bacteroides dorei
FCB group,clade,Bacteroides fragilis
Bacteroidetes/Chlorobi group,clade,Bacteroides fragilis
FCB group,clade,Bacteroides ovatus
Bacteroidetes/Chlorobi group,clade,Bacteroides ovatus
FCB group,clade,Bacteroides salanitronis
Bacteroidetes/Chlorobi group,clade,Bacteroides salanitronis
FCB group,clade,Bacteroides vulgatus
Bacteroidetes/Chlorobi group,clade,Bacteroides vulgatus
FCB group,clade,Barnesiella viscericola
Bacteroidetes/Chlorobi group,clade,Barnesiella viscericola
FCB group,clade,Bernardetia litoralis
Bacteroidetes/Chlorobi group,clade,Bernardetia litoralis
Terrabacteria group,clade,Beutenbergia cavernae
Terrabacteria group,clade,Bifidobacterium animalis
Terrabacteria group,clade,Bifidobacterium dentium
Terrabacteria group,clade,Bifidobacterium longum
Terrabacteria group,clade,Blastococcus saxobsidens
Terrabacteria group,clade,Blautia sp. YL58
Terrabacteria group,clade,Brevefilum fermentans
Terrabacteria group,clade,Brevibacillus brevis
Terrabacteria group,clade,Brevibacterium linens
Terrabacteria group,clade,Candidatus Atelocyanobacterium thalassa
Cyanobacteria/Melainabacteria group,clade,Candidatus Atelocyanobacterium thalassa
Terrabacteria group,clade,Candidatus Phytoplasma mali
Terrabacteria group,clade,Candidatus Planktophila sulfonica
PVC group,clade,Candidatus Protochlamydia amoebophila
Terrabacteria group,clade,Candidatus Rhodoluna planktonica
Luna-1 subcluster,clade,Candidatus Rhodoluna planktonica
Bacteria candidate phyla,clade,Candidatus Saccharibacteria oral taxon TM7x
FCB group,clade,Candidatus Sulcia muelleri
Bacteroidetes/Chlorobi group,clade,Candidatus Sulcia muelleri
PVC group,clade,Candidatus Xiphinematobacter sp. Idaho Grape
FCB group,clade,Capnocytophaga gingivalis
Bacteroidetes/Chlorobi group,clade,Capnocytophaga gingivalis
Terrabacteria group,clade,Cellulomonas sp. PSBB021
Terrabacteria group,clade,Chamaesiphon minutus
Cyanobacteria/Melainabacteria group,clade,Chamaesiphon minutus
FCB group,clade,Chitinophaga caeni
Bacteroidetes/Chlorobi group,clade,Chitinophaga caeni
FCB group,clade,Chitinophaga sp. MD30
Bacteroidetes/Chlorobi group,clade,Chitinophaga sp. MD30
Terrabacteria group,clade,Chondrocystis sp. NIES-4102
Cyanobacteria/Melainabacteria group,clade,Chondrocystis sp. NIES-4102
Terrabacteria group,clade,Chroococcidiopsis thermalis
Cyanobacteria/Melainabacteria group,clade,Chroococcidiopsis thermalis
FCB group,clade,Chryseobacterium taklimakanense
Bacteroidetes/Chlorobi group,clade,Chryseobacterium taklimakanense
FCB group,clade,Chryseolinea sp. KIS68-18
Bacteroidetes/Chlorobi group,clade,Chryseolinea sp. KIS68-18
Terrabacteria group,clade,Clostridioides difficile
Terrabacteria group,clade,Clostridium botulinum
Terrabacteria group,clade,Clostridium estertheticum
Terrabacteria group,clade,Clostridium saccharobutylicum
Terrabacteria group,clade,Clostridium sp. MF28
Terrabacteria group,clade,Cnuibacter physcomitrellae
Terrabacteria group,clade,Collinsella aerofaciens
Terrabacteria group,clade,Conexibacter woesei
Terrabacteria group,clade,Corynebacterium diphtheriae
Terrabacteria group,clade,Corynebacterium glutamicum
Terrabacteria group,clade,Corynebacterium glyciniphilum
Terrabacteria group,clade,Corynebacterium imitans
Terrabacteria group,clade,Corynebacterium jeikeium
Terrabacteria group,clade,Corynebacterium riegelii
Terrabacteria group,clade,Corynebacterium sphenisci
Terrabacteria group,clade,Corynebacterium ureicelerivorans
Terrabacteria group,clade,Crinalium epipsammum
Cyanobacteria/Melainabacteria group,clade,Crinalium epipsammum
Terrabacteria group,clade,Curtobacterium pusillum
Terrabacteria group,clade,Curtobacterium sp. MR_MD2014
Terrabacteria group,clade,Cutibacterium acnes
Terrabacteria group,clade,Cutibacterium granulosum
Terrabacteria group,clade,Cyanobium gracile
Cyanobacteria/Melainabacteria group,clade,Cyanobium gracile
Terrabacteria group,clade,Cyanobium sp. NIES-981
Cyanobacteria/Melainabacteria group,clade,Cyanobium sp. NIES-981
FCB group,clade,Cytophaga hutchinsonii
Bacteroidetes/Chlorobi group,clade,Cytophaga hutchinsonii
Terrabacteria group,clade,Dactylococcopsis salina
Cyanobacteria/Melainabacteria group,clade,Dactylococcopsis salina
