case,genus,fraction_total_reads,group,sex
18.unmapped,Eubacterium,9.85E-05,control,male
17.unmapped,Eubacterium,0.000105332,control,male
19.unmapped,Eubacterium,5.31E-05,control,male
28.unmapped,Eubacterium,4.80E-05,malt,fem
29.unmapped,Eubacterium,7.28E-05,malt,fem
22.unmapped,Eubacterium,7.11E-05,malt,male
18.unmapped,Eubacterium,6.17E-05,control,male
22.unmapped,Eubacterium,6.68E-05,malt,male
27.unmapped,Eubacterium,4.88E-05,malt,fem
17.unmapped,Eubacterium,8.56E-05,control,male
29.unmapped,Eubacterium,5.91E-05,malt,fem
28.unmapped,Eubacterium,6.25E-05,malt,fem
19.unmapped,Eubacterium,7.11E-05,control,male
24.unmapped,Schlegelella,7.96E-05,control,fem
22.unmapped,Schlegelella,5.31E-05,malt,male
23.unmapped,Schlegelella,7.11E-05,malt,male
19.unmapped,Schlegelella,5.74E-05,control,male
28.unmapped,Schlegelella,5.31E-05,malt,fem
27.unmapped,Schlegelella,6.59E-05,malt,fem
25.unmapped,Schlegelella,6.85E-05,control,fem
26.unmapped,Schlegelella,9.16E-05,control,fem
20.unmapped,Schlegelella,0.000121603,control,male
17.unmapped,Schlegelella,4.54E-05,control,male
21.unmapped,Schlegelella,0.000106189,malt,male
18.unmapped,Schlegelella,5.31E-05,control,male
29.unmapped,Schlegelella,4.37E-05,malt,fem
20.unmapped,Acaryochloris,5.82E-05,control,male
21.unmapped,Acaryochloris,4.80E-05,malt,male
26.unmapped,Acaryochloris,6.42E-05,control,fem
20.unmapped,Acetobacter,4.28E-05,control,male
29.unmapped,Acidimicrobium,4.97E-05,malt,fem
22.unmapped,Acidimicrobium,5.40E-05,malt,male
28.unmapped,Acidimicrobium,4.62E-05,malt,fem
22.unmapped,Acidovorax,6.59E-05,malt,male
27.unmapped,Acidovorax,5.05E-05,malt,fem
17.unmapped,Acidovorax,5.22E-05,control,male
23.unmapped,Acidovorax,7.79E-05,malt,male
25.unmapped,Acidovorax,5.31E-05,control,fem
18.unmapped,Acidovorax,4.88E-05,control,male
29.unmapped,Acidovorax,6.08E-05,malt,fem
28.unmapped,Acidovorax,5.91E-05,malt,fem
17.unmapped,Acidovorax,9.08E-05,control,male
18.unmapped,Acidovorax,0.000112183,control,male
27.unmapped,Acidovorax,6.94E-05,malt,fem
25.unmapped,Acidovorax,0.000476137,control,fem
26.unmapped,Acidovorax,0.000394782,control,fem
28.unmapped,Acidovorax,9.51E-05,malt,fem
29.unmapped,Acidovorax,4.54E-05,malt,fem
22.unmapped,Acidovorax,5.31E-05,malt,male
20.unmapped,Acidovorax,0.000332268,control,male
19.unmapped,Acidovorax,7.11E-05,control,male
21.unmapped,Acidovorax,0.000211521,malt,male
24.unmapped,Acidovorax,0.000321992,control,fem
28.unmapped,Diaphorobacter,5.40E-05,malt,fem
24.unmapped,Diaphorobacter,0.000870919,control,fem
20.unmapped,Diaphorobacter,0.000333981,control,male
21.unmapped,Diaphorobacter,0.000633707,malt,male
26.unmapped,Diaphorobacter,0.000221797,control,fem
25.unmapped,Diaphorobacter,0.00123316,control,fem
17.unmapped,Acidovorax,0.000205527,control,male
25.unmapped,Acidovorax,0.000365666,control,fem
27.unmapped,Acidovorax,0.000205527,malt,fem
24.unmapped,Acidovorax,0.000909455,control,fem
29.unmapped,Acidovorax,0.000572049,malt,fem
18.unmapped,Acidovorax,0.000491551,control,male
21.unmapped,Acidovorax,0.000323704,malt,male
20.unmapped,Acidovorax,0.00022351,control,male
22.unmapped,Acidovorax,0.000375942,malt,male
19.unmapped,Acidovorax,0.000218372,control,male
26.unmapped,Acidovorax,0.00028945,control,fem
28.unmapped,Acidovorax,0.000276605,malt,fem
26.unmapped,Acidovorax,0.000479562,control,fem
24.unmapped,Acidovorax,0.000322848,control,fem
25.unmapped,Acidovorax,0.000476993,control,fem
