"","Class","case","fraction_total_reads","group","sex","sample"
"1","Clostridia","18.unmapped",9.85e-05,"control","male","exo"
"2","Clostridia","17.unmapped",0.000105332,"control","male","exo"
"3","Clostridia","19.unmapped",5.31e-05,"control","male","exo"
"4","Clostridia","28.unmapped",4.8e-05,"malt","fem","exo"
"5","Clostridia","29.unmapped",7.28e-05,"malt","fem","exo"
"6","Clostridia","22.unmapped",7.11e-05,"malt","male","exo"
"7","Clostridia","18.unmapped",6.17e-05,"control","male","exo"
"8","Clostridia","22.unmapped",6.68e-05,"malt","male","exo"
"9","Clostridia","27.unmapped",4.88e-05,"malt","fem","exo"
"10","Clostridia","17.unmapped",8.56e-05,"control","male","exo"
"11","Clostridia","29.unmapped",5.91e-05,"malt","fem","exo"
"12","Clostridia","28.unmapped",6.25e-05,"malt","fem","exo"
"13","Clostridia","19.unmapped",7.11e-05,"control","male","exo"
"14","Betaproteobacteria","24.unmapped",7.96e-05,"control","fem","exo"
"15","Betaproteobacteria","22.unmapped",5.31e-05,"malt","male","exo"
"16","Betaproteobacteria","23.unmapped",7.11e-05,"malt","male","exo"
"17","Betaproteobacteria","19.unmapped",5.74e-05,"control","male","exo"
"18","Betaproteobacteria","28.unmapped",5.31e-05,"malt","fem","exo"
"19","Betaproteobacteria","27.unmapped",6.59e-05,"malt","fem","exo"
"20","Betaproteobacteria","25.unmapped",6.85e-05,"control","fem","exo"
"21","Betaproteobacteria","26.unmapped",9.16e-05,"control","fem","exo"
"22","Betaproteobacteria","20.unmapped",0.000121603,"control","male","exo"
"23","Betaproteobacteria","17.unmapped",4.54e-05,"control","male","exo"
"24","Betaproteobacteria","21.unmapped",0.000106189,"malt","male","exo"
"25","Betaproteobacteria","18.unmapped",5.31e-05,"control","male","exo"
"26","Betaproteobacteria","29.unmapped",4.37e-05,"malt","fem","exo"
"27","Alphaproteobacteria","20.unmapped",4.28e-05,"control","male","exo"
"28","Acidimicrobiia","29.unmapped",4.97e-05,"malt","fem","exo"
"29","Acidimicrobiia","22.unmapped",5.4e-05,"malt","male","exo"
"30","Acidimicrobiia","28.unmapped",4.62e-05,"malt","fem","exo"
"31","Betaproteobacteria","22.unmapped",6.59e-05,"malt","male","exo"
"32","Betaproteobacteria","27.unmapped",5.05e-05,"malt","fem","exo"
"33","Betaproteobacteria","17.unmapped",5.22e-05,"control","male","exo"
"34","Betaproteobacteria","23.unmapped",7.79e-05,"malt","male","exo"
"35","Betaproteobacteria","25.unmapped",5.31e-05,"control","fem","exo"
"36","Betaproteobacteria","18.unmapped",4.88e-05,"control","male","exo"
"37","Betaproteobacteria","29.unmapped",6.08e-05,"malt","fem","exo"
"38","Betaproteobacteria","28.unmapped",5.91e-05,"malt","fem","exo"
"39","Betaproteobacteria","17.unmapped",9.08e-05,"control","male","exo"
"40","Betaproteobacteria","18.unmapped",0.000112183,"control","male","exo"
"41","Betaproteobacteria","27.unmapped",6.94e-05,"malt","fem","exo"
"42","Betaproteobacteria","25.unmapped",0.000476137,"control","fem","exo"
"43","Betaproteobacteria","26.unmapped",0.000394782,"control","fem","exo"
