Phylum,case,fraction_total_reads,group,sex
Firmicutes,18.unmapped,9.85E-05,control,male
Firmicutes,17.unmapped,0.000105332,control,male
Firmicutes,19.unmapped,5.31E-05,control,male
Firmicutes,28.unmapped,4.80E-05,malt,fem
Firmicutes,29.unmapped,7.28E-05,malt,fem
Firmicutes,22.unmapped,7.11E-05,malt,male
Firmicutes,18.unmapped,6.17E-05,control,male
Firmicutes,22.unmapped,6.68E-05,malt,male
Firmicutes,27.unmapped,4.88E-05,malt,fem
Firmicutes,17.unmapped,8.56E-05,control,male
Firmicutes,29.unmapped,5.91E-05,malt,fem
Firmicutes,28.unmapped,6.25E-05,malt,fem
Firmicutes,19.unmapped,7.11E-05,control,male
Proteobacteria,24.unmapped,7.96E-05,control,fem
Proteobacteria,22.unmapped,5.31E-05,malt,male
Proteobacteria,23.unmapped,7.11E-05,malt,male
Proteobacteria,19.unmapped,5.74E-05,control,male
Proteobacteria,28.unmapped,5.31E-05,malt,fem
Proteobacteria,27.unmapped,6.59E-05,malt,fem
Proteobacteria,25.unmapped,6.85E-05,control,fem
Proteobacteria,26.unmapped,9.16E-05,control,fem
Proteobacteria,20.unmapped,0.000121603,control,male
Proteobacteria,17.unmapped,4.54E-05,control,male
Proteobacteria,21.unmapped,0.000106189,malt,male
Proteobacteria,18.unmapped,5.31E-05,control,male
Proteobacteria,29.unmapped,4.37E-05,malt,fem
Cyanobacteria,20.unmapped,5.82E-05,control,male
Cyanobacteria,21.unmapped,4.80E-05,malt,male
Cyanobacteria,26.unmapped,6.42E-05,control,fem
Proteobacteria,20.unmapped,4.28E-05,control,male
Actinobacteria,29.unmapped,4.97E-05,malt,fem
Actinobacteria,22.unmapped,5.40E-05,malt,male
Actinobacteria,28.unmapped,4.62E-05,malt,fem
Proteobacteria,22.unmapped,6.59E-05,malt,male
Proteobacteria,27.unmapped,5.05E-05,malt,fem
Proteobacteria,17.unmapped,5.22E-05,control,male
Proteobacteria,23.unmapped,7.79E-05,malt,male
Proteobacteria,25.unmapped,5.31E-05,control,fem
Proteobacteria,18.unmapped,4.88E-05,control,male
Proteobacteria,29.unmapped,6.08E-05,malt,fem
Proteobacteria,28.unmapped,5.91E-05,malt,fem
Proteobacteria,17.unmapped,9.08E-05,control,male
Proteobacteria,18.unmapped,0.000112183,control,male
Proteobacteria,27.unmapped,6.94E-05,malt,fem
Proteobacteria,25.unmapped,0.000476137,control,fem
Proteobacteria,26.unmapped,0.000394782,control,fem
Proteobacteria,28.unmapped,9.51E-05,malt,fem
Proteobacteria,29.unmapped,4.54E-05,malt,fem
Proteobacteria,22.unmapped,5.31E-05,malt,male
Proteobacteria,20.unmapped,0.000332268,control,male
Proteobacteria,19.unmapped,7.11E-05,control,male
Proteobacteria,21.unmapped,0.000211521,malt,male
Proteobacteria,24.unmapped,0.000321992,control,fem
Proteobacteria,28.unmapped,5.40E-05,malt,fem
Proteobacteria,24.unmapped,0.000870919,control,fem
Proteobacteria,20.unmapped,0.000333981,control,male
Proteobacteria,21.unmapped,0.000633707,malt,male
Proteobacteria,26.unmapped,0.000221797,control,fem
Proteobacteria,25.unmapped,0.00123316,control,fem
Proteobacteria,17.unmapped,0.000205527,control,male
Proteobacteria,25.unmapped,0.000365666,control,fem
Proteobacteria,27.unmapped,0.000205527,malt,fem
Proteobacteria,24.unmapped,0.000909455,control,fem
Proteobacteria,29.unmapped,0.000572049,malt,fem
Proteobacteria,18.unmapped,0.000491551,control,male
Proteobacteria,21.unmapped,0.000323704,malt,male
Proteobacteria,20.unmapped,0.00022351,control,male
Proteobacteria,22.unmapped,0.000375942,malt,male
Proteobacteria,19.unmapped,0.000218372,control,male
Proteobacteria,26.unmapped,0.00028945,control,fem
Proteobacteria,28.unmapped,0.000276605,malt,fem
Proteobacteria,26.unmapped,0.000479562,control,fem
Proteobacteria,24.unmapped,0.000322848,control,fem
Proteobacteria,25.unmapped,0.000476993,control,fem
Proteobacteria,20.unmapped,0.000305721,control,male
Proteobacteria,21.unmapped,0.000265472,malt,male
Proteobacteria,27.unmapped,0.000115609,malt,fem
Proteobacteria,19.unmapped,0.000219228,control,male
Proteobacteria,20.unmapped,0.000121603,control,male
Proteobacteria,17.unmapped,0.000159283,control,male
Proteobacteria,24.unmapped,8.14E-05,control,fem
Proteobacteria,18.unmapped,0.000167847,control,male
Proteobacteria,22.unmapped,0.000265472,malt,male
Proteobacteria,28.unmapped,0.000166134,malt,fem
Proteobacteria,23.unmapped,0.000712492,malt,male
Proteobacteria,29.unmapped,0.000186687,malt,fem
Proteobacteria,21.unmapped,7.79E-05,malt,male
Proteobacteria,26.unmapped,0.000143869,control,fem
Proteobacteria,25.unmapped,0.0001413,control,fem
Proteobacteria,28.unmapped,0.000637989,malt,fem
Proteobacteria,23.unmapped,0.000828101,malt,male
Proteobacteria,18.unmapped,0.001057606,control,male
Proteobacteria,20.unmapped,0.000137874,control,male
Proteobacteria,26.unmapped,0.000587464,control,fem
Proteobacteria,24.unmapped,0.000479562,control,fem
Proteobacteria,19.unmapped,0.000446164,control,male
Proteobacteria,25.unmapped,0.000291163,control,fem
Proteobacteria,21.unmapped,0.000438457,malt,male
Proteobacteria,27.unmapped,0.000846085,malt,fem
Proteobacteria,17.unmapped,0.001048186,control,male
Proteobacteria,22.unmapped,0.001515759,malt,male
Proteobacteria,29.unmapped,0.001314514,malt,fem
Proteobacteria,19.unmapped,5.48E-05,control,male
Proteobacteria,19.unmapped,7.79E-05,control,male
Proteobacteria,26.unmapped,0.00017641,control,fem
Proteobacteria,23.unmapped,0.000238925,malt,male
Proteobacteria,17.unmapped,0.000744178,control,male
Proteobacteria,28.unmapped,0.000933433,malt,fem
Proteobacteria,22.unmapped,0.000559204,malt,male
Proteobacteria,27.unmapped,0.000226936,malt,fem
Proteobacteria,19.unmapped,0.001538024,control,male
Proteobacteria,20.unmapped,0.000301439,control,male
Proteobacteria,21.unmapped,0.000208952,malt,male
Proteobacteria,29.unmapped,0.000379368,malt,fem
Proteobacteria,25.unmapped,0.000480418,control,fem
Proteobacteria,18.unmapped,0.000625143,control,male
Proteobacteria,24.unmapped,0.000375086,control,fem
Proteobacteria,28.unmapped,7.54E-05,malt,fem
Proteobacteria,18.unmapped,5.57E-05,control,male
Proteobacteria,24.unmapped,6.77E-05,control,fem
Proteobacteria,23.unmapped,0.000105332,malt,male
Proteobacteria,21.unmapped,5.48E-05,malt,male
Proteobacteria,17.unmapped,5.40E-05,control,male
Proteobacteria,22.unmapped,5.57E-05,malt,male
Proteobacteria,20.unmapped,6.34E-05,control,male
Proteobacteria,29.unmapped,8.14E-05,malt,fem
Proteobacteria,19.unmapped,5.22E-05,control,male
Proteobacteria,18.unmapped,4.88E-05,control,male
Proteobacteria,28.unmapped,0.000179836,malt,fem
Proteobacteria,19.unmapped,7.02E-05,control,male
Proteobacteria,20.unmapped,6.25E-05,control,male
Proteobacteria,27.unmapped,0.000136161,malt,fem
Proteobacteria,17.unmapped,0.000125885,control,male
Proteobacteria,22.unmapped,4.71E-05,malt,male
Proteobacteria,26.unmapped,0.000225223,control,fem
Proteobacteria,27.unmapped,4.11E-05,malt,fem
Proteobacteria,18.unmapped,8.14E-05,control,male
Proteobacteria,28.unmapped,0.000107901,malt,fem
Proteobacteria,19.unmapped,6.08E-05,control,male
Proteobacteria,17.unmapped,6.77E-05,control,male
Proteobacteria,29.unmapped,7.02E-05,malt,fem
Proteobacteria,22.unmapped,5.48E-05,malt,male
Proteobacteria,22.unmapped,4.80E-05,malt,male
Proteobacteria,29.unmapped,4.37E-05,malt,fem
Proteobacteria,19.unmapped,5.65E-05,control,male
Proteobacteria,28.unmapped,6.17E-05,malt,fem
Proteobacteria,17.unmapped,5.05E-05,control,male
Proteobacteria,18.unmapped,5.48E-05,control,male
Proteobacteria,22.unmapped,4.11E-05,malt,male
Proteobacteria,24.unmapped,6.17E-05,control,fem
Proteobacteria,29.unmapped,4.45E-05,malt,fem
Proteobacteria,19.unmapped,5.05E-05,control,male
Proteobacteria,17.unmapped,4.37E-05,control,male
Proteobacteria,28.unmapped,0.000196963,malt,fem
Proteobacteria,22.unmapped,0.000156714,malt,male
Proteobacteria,29.unmapped,0.000153289,malt,fem
Proteobacteria,18.unmapped,0.000137874,control,male
Proteobacteria,19.unmapped,0.000154145,control,male
Proteobacteria,17.unmapped,0.000125885,control,male
Proteobacteria,28.unmapped,5.14E-05,malt,fem
Proteobacteria,19.unmapped,6.68E-05,control,male
Proteobacteria,17.unmapped,4.54E-05,control,male
Actinobacteria,17.unmapped,4.45E-05,control,male
Actinobacteria,24.unmapped,5.05E-05,control,fem
Actinobacteria,26.unmapped,4.37E-05,control,fem
Actinobacteria,24.unmapped,4.97E-05,control,fem
Actinobacteria,21.unmapped,7.54E-05,malt,male
Actinobacteria,26.unmapped,7.11E-05,control,fem
Actinobacteria,24.unmapped,9.08E-05,control,fem
Actinobacteria,17.unmapped,9.68E-05,control,male
Actinobacteria,21.unmapped,6.94E-05,malt,male
Actinobacteria,28.unmapped,0.000120747,malt,fem
Actinobacteria,25.unmapped,0.000107045,control,fem
Actinobacteria,25.unmapped,8.14E-05,control,fem
Actinobacteria,29.unmapped,0.000104476,malt,fem
