case,before.filtering,zero_filtered,after.filtering,share,fraction
17,16212,6207,10641,0.656365655,65.63656551
18,16823,5815,11033,0.65582833,65.58283303
19,13925,7722,9126,0.655368043,65.53680431
20,14255,7560,9288,0.651560856,65.15608558
21,14759,7282,9566,0.648146893,64.81468934
22,11427,9327,7521,0.658177999,65.81779995
23,14299,7416,9432,0.659626547,65.96265473
24,12769,8466,8382,0.65643355,65.643355
25,11617,9213,7635,0.657226478,65.72264784
26,12443,8741,8107,0.651530981,65.15309813
27,17262,5607,11241,0.651199166,65.11991658
28,10959,9600,7248,0.661374213,66.1374213
29,13741,7854,8994,0.654537515,65.45375155
