geneID,gene_name,gene_type
ENSMMUG00000023296,ENSMMUG00000023296,protein_coding
ENSMMUG00000036181,U6,snRNA
ENSMMUG00000000634,ZNF692,protein_coding
ENSMMUG00000037875,ZNF672,protein_coding
ENSMMUG00000000632,SH3BP5L,protein_coding
ENSMMUG00000064799,ENSMMUG00000064799,protein_coding
ENSMMUG00000057389,ENSMMUG00000057389,protein_coding
ENSMMUG00000031200,ENSMMUG00000031200,protein_coding
ENSMMUG00000052613,ENSMMUG00000052613,protein_coding
ENSMMUG00000031199,OR2T27,protein_coding
ENSMMUG00000053841,ENSMMUG00000053841,protein_coding
ENSMMUG00000017095,ENSMMUG00000017095,pseudogene
ENSMMUG00000025700,Y_RNA,Y_RNA
ENSMMUG00000049101,OR2T10,protein_coding
ENSMMUG00000048289,ENSMMUG00000048289,pseudogene
ENSMMUG00000017368,ENSMMUG00000017368,protein_coding
ENSMMUG00000055842,OR14I1,protein_coding
ENSMMUG00000031198,ENSMMUG00000031198,pseudogene
ENSMMUG00000062331,OR9G1,protein_coding
ENSMMUG00000049901,ENSMMUG00000049901,protein_coding
ENSMMUG00000064657,ENSMMUG00000064657,protein_coding
ENSMMUG00000005566,OR2T1,protein_coding
ENSMMUG00000064874,OR2T6,protein_coding
ENSMMUG00000039595,ENSMMUG00000039595,protein_coding
ENSMMUG00000038524,OR2M4,protein_coding
ENSMMUG00000049432,ENSMMUG00000049432,protein_coding
ENSMMUG00000050812,ENSMMUG00000050812,protein_coding
ENSMMUG00000059065,ENSMMUG00000059065,protein_coding
ENSMMUG00000064763,ENSMMUG00000064763,lncRNA
ENSMMUG00000053957,ENSMMUG00000053957,protein_coding
ENSMMUG00000062908,Y_RNA,Y_RNA
ENSMMUG00000057748,OR2L2,protein_coding
ENSMMUG00000051218,Y_RNA,Y_RNA
ENSMMUG00000050041,OR2L5,protein_coding
ENSMMUG00000052261,ENSMMUG00000052261,protein_coding
ENSMMUG00000054556,Y_RNA,Y_RNA
ENSMMUG00000060886,ENSMMUG00000060886,protein_coding
ENSMMUG00000062168,ENSMMUG00000062168,protein_coding
ENSMMUG00000059751,Y_RNA,Y_RNA
ENSMMUG00000018891,ENSMMUG00000018891,pseudogene
ENSMMUG00000056262,ENSMMUG00000056262,protein_coding
ENSMMUG00000038159,OR2W3,protein_coding
ENSMMUG00000005570,TRIM58,protein_coding
ENSMMUG00000006214,OR11L1,protein_coding
ENSMMUG00000056211,ENSMMUG00000056211,protein_coding
ENSMMUG00000049478,OR9H1P,protein_coding
ENSMMUG00000062849,OR1C1,protein_coding
ENSMMUG00000064145,OR14K1,protein_coding
ENSMMUG00000059455,OR14A2,protein_coding
ENSMMUG00000016175,OR6F1,protein_coding
ENSMMUG00000016176,OR13G1,protein_coding
ENSMMUG00000058340,ENSMMUG00000058340,protein_coding
ENSMMUG00000005955,GCSAML,protein_coding
ENSMMUG00000012954,OR2C3,protein_coding
ENSMMUG00000060427,ENSMMUG00000060427,protein_coding
ENSMMUG00000005949,OR2B11,protein_coding
ENSMMUG00000005946,NLRP3,protein_coding
ENSMMUG00000052686,ENSMMUG00000052686,lncRNA
ENSMMUG00000019585,ZNF496,protein_coding
ENSMMUG00000064912,Y_RNA,Y_RNA
ENSMMUG00000021266,ENSMMUG00000021266,processed_pseudogene
ENSMMUG00000058602,ENSMMUG00000058602,protein_coding
ENSMMUG00000059322,ENSMMUG00000059322,protein_coding
ENSMMUG00000004566,ZNF124,protein_coding
ENSMMUG00000058214,ENSMMUG00000058214,protein_coding
ENSMMUG00000023311,ENSMMUG00000023311,protein_coding
ENSMMUG00000050290,ZNF670,protein_coding
ENSMMUG00000054567,ENSMMUG00000054567,protein_coding
ENSMMUG00000031191,ENSMMUG00000031191,protein_coding
ENSMMUG00000061999,Metazoa_SRP,misc_RNA
ENSMMUG00000016408,AHCTF1,protein_coding
ENSMMUG00000049281,ENSMMUG00000049281,protein_coding
ENSMMUG00000053269,ENSMMUG00000053269,lncRNA
ENSMMUG00000022208,SCCPDH,protein_coding
ENSMMUG00000056452,ENSMMUG00000056452,lncRNA
ENSMMUG00000050866,ENSMMUG00000050866,lncRNA
ENSMMUG00000057881,5S_rRNA,rRNA
ENSMMUG00000062560,U6,snRNA
ENSMMUG00000064226,ENSMMUG00000064226,lncRNA
ENSMMUG00000061675,5S_rRNA,rRNA
ENSMMUG00000053105,5S_rRNA,rRNA
ENSMMUG00000044246,Metazoa_SRP,misc_RNA
ENSMMUG00000052988,Metazoa_SRP,misc_RNA
ENSMMUG00000051199,5S_rRNA,rRNA
ENSMMUG00000058983,5S_rRNA,rRNA
