Phylum,Class,22.unmapped,27.unmapped,21.unmapped,24.unmapped,25.unmapped,28.unmapped,29.unmapped,23.unmapped,17.unmapped,26.unmapped,18.unmapped,19.unmapped,20.unmapped
Bacteroidetes,Bacteroidia,0.005548118,0.002658341,0.004778273,0.010555141,0.009924726,0.008636243,0.001728992,0.003452445,0.002480599,0.009596055,0.014468934,0.005949036,0.002552211
Bacteroidetes,Bacteroidia,0.003703704,0.001190071,0.003969479,0.00862584,0.007544133,0.006500398,0.000841545,0.00192101,0.001190017,0.007067471,0.010976433,0.004509753,0.001571789
Firmicutes,Bacilli,5.95E-05,0.002163766,0.005331659,0.003746577,0.004761186,0.00112762,0.002800049,0.008584095,0.006352346,0.01121372,0.006398028,0.003097885,0.004139562
Firmicutes,Bacilli,4.46E-05,0.001792835,0.004565433,0.003485188,0.003956479,0.000703104,0.002188016,0.007240731,0.005581349,0.010632617,0.005341473,0.002837443,0.003314762
Bacteroidetes,Bacteroidia,0.000475978,0.000556397,0.001245118,0.02450834,0.003269124,0.009312815,0.000581431,0.000335841,0.00103917,0.001036562,0.011255246,0.00069908,0.000653615
Bacteroidetes,Bacteroidia,0.001844415,0.000850051,0.003341599,0.015546428,0.0026153,0.009379146,0.000719138,0.002189683,0.000988888,0.002277296,0.008467115,0.003467986,0.004170687
Bacteroidetes,Bacteroidia,0.000356983,0.000355476,0.00125576,0.022205626,0.003101477,0.008768904,0.000443724,0.00029554,0.000720715,0.00111509,0.010624248,0.000466053,0.000420181
Bacteroidetes,Bacteroidia,0.002260895,0.000942784,0.002426384,0.006036843,0.00519707,0.004775803,0.000535528,0.001826975,0.001005648,0.00560686,0.00845244,0.003276082,0.001089359
Firmicutes,Clostridia,0.003093857,0.004312077,0.001702725,0.001755041,0.006856779,0.001220483,0.005064569,0.000806018,0.007726732,0.001743309,0.002435946,0.00549669,0.001774098
Bacteroidetes,Bacteroidia,0.004492042,0.000278199,0.000893931,0.001431416,0.000402354,0.0056381,0.000765041,0.006972058,0.002581164,0.001931775,0.008936695,0.000493468,0.002692272
Bacteroidetes,Bacteroidia,0.001561803,0.001205527,0.003075548,0.013455315,0.002095593,0.0080658,0.00074974,0.001598603,0.001089452,0.001853248,0.007395885,0.003317204,0.003937253
Firmicutes,Bacilli,0.000565224,0.002040122,0.005321017,0.000784167,0.003922949,0.002613425,0.000351919,0.00044331,0.001005648,0.01919211,0.001056555,0.001494113,0.005306732
Firmicutes,Bacilli,0.00055035,0.002040122,0.005459363,0.000759273,0.00385589,0.002202176,0.000275415,0.000685116,0.001139735,0.020432843,0.000748393,0.001343331,0.004964362
Firmicutes,Clostridia,0.0032426,0.004652097,0.001436675,0.001667911,0.006035307,0.000994959,0.004590244,0.000900054,0.006419389,0.001319261,0.002157133,0.005249955,0.00116717
Firmicutes,Bacilli,0,0.001437359,0.003373525,0.002701021,0.002531476,0.00065004,0.001973805,0.005319721,0.003720899,0.007255937,0.003932733,0.002357682,0.00267671
Bacteroidetes,Bacteroidia,0.002320393,0.000587308,0.002224185,0.005227782,0.004342068,0.003913505,0.000474325,0.000940355,0.000905084,0.005072873,0.00751328,0.00307047,0.001385042
Bacteroidetes,Bacteroidia,0.004149933,0.000370931,0.000893931,0.001443864,0.00031853,0.004722738,0.00056613,0.00557496,0.002346513,0.002151652,0.007792093,0.000328979,0.002738959
Firmicutes,Negativicutes,0.003659081,0.001792835,0.004512222,0.003609659,0.002078828,0.005001327,0.000642634,0.001813541,0.003704138,0.003439502,0.002025064,0.003330912,0.002116468
Bacteroidetes,Bacteroidia,0.001085825,0.001561003,0.006970532,0.000161812,0.003319419,0.000212258,0.005156374,0.007012359,0.002799055,0.001177912,0.000792416,0.000507176,0.002536649
Bacteroidetes,Bacteroidia,0.005265506,0.000942784,0.001979418,0.001879512,0.004157656,0.00136641,0.000918049,0.00206878,0.001223539,0.001005151,0.00328706,0.001357038,0.003205827
Firmicutes,Bacilli,0.000297486,0.000417298,0.003448019,0.000211601,0.006856779,0.000278588,6.12E-05,0.00251209,0.000117326,0.002120241,0.000396208,0.001110304,0.000902611
