sample,sample_short,group,Sex,group_shuffle
17_Dias_MacaM_ERCC_S252b_sorted.bam ,17_MacaM,CC,M,MM
18_Dias_MacaM_ERCC_S252b_sorted.bam ,18_MacaM,CC,M,CC
19_Dias_MacaM_ERCC_S252b_sorted.bam ,19_MacaM,CC,M,MM
20_Dias_MacaM_ERCC_S252b_sorted.bam ,20_MacaM,CC,M,CC
21_Dias_MacaM_ERCC_S252b_sorted.bam ,21_MacaM,MM,M,MM
22_Dias_MacaM_ERCC_S252b_sorted.bam ,22_MacaM,MM,M,CC
23_Dias_MacaM_ERCC_S252b_sorted.bam ,23_MacaM,MM,M,MM
24_Dias_MacaM_ERCC_S252b_sorted.bam ,24_MacaM,CC,F,CC
25_Dias_MacaM_ERCC_S252b_sorted.bam ,25_MacaM,CC,F,MM
26_Dias_MacaM_ERCC_S252b_sorted.bam ,26_MacaM,CC,F,CC
27_Dias_MacaM_ERCC_S252b_sorted.bam ,27_MacaM,MM,F,MM
28_Dias_MacaM_ERCC_S252b_sorted.bam ,28_MacaM,MM,F,CC
29_Dias_MacaM_ERCC_S252b_sorted.bam ,29_MacaM,MM,F,MM
