"","reads_17Dias","reads_18Dias","reads_19Dias","reads_20Dias","reads_21Dias","reads_22Dias","reads_23Dias","reads_24Dias","reads_25Dias","reads_26Dias","reads_27Dias","reads_28Dias","reads_29Dias"
"Acidovorax carolinensis",439100,917900,428700,1578900,333600,368000,53900,1711000,2407500,1911500,135500,804200,454900
"Acidovorax ebreus",0,0,0,2026800,1156700,522200,0,4778300,5048700,944200,680600,446700,0
"Acidovorax sp. JS42",968800,2713900,918000,1028200,450900,2148100,0,4557200,2198200,1491100,536600,2334300,3224600
"Acidovorax sp. KKS102",115500,119700,259100,1683900,491200,283800,22500,2077900,2249400,2421300,9200,122500,121500
"Acidovorax sp. T1",825700,989700,1110200,561200,112000,1956500,1068300,422900,663000,632600,155400,1531100,1002800
"Acinetobacter baumannii",7250400,6524100,6315000,1145000,653500,13270300,1295000,3510200,1261700,3581800,1787600,7113800,7094600
"Acinetobacter johnsonii",2987500,3325600,5293200,870400,334200,4465500,359800,1565800,2120500,790900,401300,7628100,2072300
"Anabaena sp. WA102",5945300,124000,13600,16900,0,45800,0,0,0,131900,224300,106400,17900
"Bacillus anthracis",13664300,18078600,26812400,13948800,2105700,36118600,740900,16774500,4316200,9189400,4799500,32087000,15946200
"Bacillus atrophaeus",9382900,5096800,7897700,3225600,865100,12527000,153100,4119100,1998600,4864600,1254600,5593600,4611200
"Bacillus cereus",15018900,16223900,17592000,12182200,5372100,23659300,1805000,17567800,13988400,14623600,7958700,36555800,17799300
"Bacillus sp. FJAT-14266",8085900,13033600,5048500,6137900,3100800,17584200,393100,8381100,6729700,4082800,2765700,19951300,10156200
"Bacillus sp. Lzh-5",1100300,1070100,866700,1754400,469500,699500,0,1190600,1252200,0,0,3654900,2081400
"Bacillus subtilis",9591300,9813200,5054200,3051800,2449200,9621900,1438200,4296200,5969700,11595800,1700000,12267700,6699800
"Bacillus thuringiensis",1020700,1604500,1282200,662200,174100,5000500,74400,1696100,352800,1024200,406800,3132900,6163700
"Blautia sp. YL58",2776000,2489700,1583500,0,0,2497400,0,2174900,388400,838600,506800,7883400,3336100
"Brevundimonas diminuta",843000,503000,782900,980000,1174100,835200,48700,2653900,1075200,1273100,282500,1087500,397800
"Brucella abortus",1092100,5452200,1555400,2368900,0,3982300,0,644600,0,0,0,4430400,3379000
"Brucella melitensis",1578700,1460500,1999400,3187400,497800,4285800,1165900,1128600,823100,0,2543900,5093300,1032200
"Burkholderia pseudomallei",61097000,104052100,102991500,76705200,16534400,101818100,15808700,72070300,88516500,68481100,22747700,138762100,71902100
"Burkholderia thailandensis",7866200,7390200,2544500,13397900,2067200,8782000,0,2980800,6266100,6261000,571500,9921000,9748900
"Campylobacter jejuni",197900,131400,529400,45300,48400,317000,0,405600,0,151000,0,4742400,2e+05
"Candidatus Solibacter usitatus",2221600,2100500,1618800,423500,120800,3371200,137500,546200,447000,422100,322600,3587500,2055000
"Chamaesiphon minutus",1592100,2117600,1447800,2178400,713900,2469800,273600,4544000,2539300,2177300,350200,3544500,1703800
"Chondrocystis sp. NIES-4102",508700,554300,683000,1478500,566300,477900,39600,1114200,2039000,4397600,146800,1243700,560500
"Clostridioides difficile",2299500,3349600,1757600,2166800,480900,5757300,49300,2297400,1361900,4331100,1336700,5819500,3495600
"Clostridium botulinum",2312600,2072800,2981700,2393700,1034400,3757200,325400,3936400,1701100,5875800,2673400,3784100,2442500
"Collimonas arenae",25200,22700,19600,17352500,400500,21200,0,1096600,913800,897500,0,71000,9400
"Corynebacterium diphtheriae",3766400,4596500,2146300,6759500,709500,2046600,0,11726400,2181100,16090600,1558100,5703000,3343400
"Cupriavidus gilardii",271600,226900,777400,795500,77900,1168100,1211300,462600,1124300,648400,246300,636600,541100
"Curvibacter sp. AEP1-3",697500,502200,475800,762000,233300,738100,88300,784600,2979500,949300,106200,1287200,529700
"Cutibacterium acnes",1424500,1093500,1590000,3010900,3568500,2266700,154000,8037100,1451300,5316700,919100,2260500,720100
"Diaphorobacter polyhydroxybutyrativorans",323200,1196800,4729900,4570900,1695800,7660500,0,2971600,2055800,1978800,515800,1232900,1318500
"Dietzia psychralcaliphila",147500,77600,445400,514300,1049100,820500,601500,366300,823400,1332400,90100,611500,271300
"Dietzia sp. oral taxon 368",21000,33700,0,181000,700400,173800,0,204900,177600,322400,154100,106300,22900
"Escherichia coli",4134400,7579300,1820900,4831200,3106400,10545400,4396900,5525500,3772300,6466200,858600,5765300,5495700
"Halomonas sp. JS92-SW72",17050300,20211200,27479000,24093000,7590300,29814600,2310600,26305600,16465700,24691300,5784400,36110700,23080500
"Herbaspirillum seropedicae",2797100,2818600,2025200,5579500,238400,4798000,571700,2325100,1872900,1263100,1032900,5167900,2263400
"Hydrogenophaga sp. PBC",794800,1075000,2455700,839900,121600,983900,141300,415300,585900,299200,168700,1354900,1062500
"Klebsiella pneumoniae",377900,617700,417500,515500,74500,790200,64000,378400,434100,481600,549400,893000,995100
"Leptothrix cholodnii",3014300,3937500,2719900,916400,419700,4345300,297900,1044400,748200,1360000,684200,5160800,2704900
"Limnohabitans sp. 103DPR2",1134500,833200,959100,2955100,823600,1341500,88300,3290200,2632100,3401400,195000,1845700,849300
"Limnohabitans sp. 63ED37-2",986700,961300,501400,2846900,858000,1001700,81400,3517300,2927800,3852100,2e+05,1579700,748000
"Methylibium petroleiphilum",903600,1207900,819000,498200,282600,1700800,122200,1602100,2754900,1467600,401800,1577600,930100
"Micrococcus luteus",827800,482400,766100,1799200,1421500,1796200,71000,3909900,714400,3016300,1304200,1691000,237200
"Mitsuaria sp. 7",1718100,3133500,1775700,592700,294700,3068500,210800,950200,948100,1064800,476400,3516900,2115200
"Neisseria meningitidis",766100,1027100,810000,890600,1803700,2821900,48100,5649500,595300,1277800,158300,1326700,905600
"Oscillatoria nigro-viridis",886300,1486200,1107200,169400,1227300,6148500,268300,463200,260700,279600,309500,2126600,296300
"Ottowia oryzae",1216500,2401200,1253300,1708000,467800,1449100,158800,1937100,1794700,2474000,237000,2146100,1095600
"Mason-Pfizer monkey virus",187200,62400,201700,145600,16000,89600,456200,41700,133500,31300,68800,15400,225800
"Methylorubrum extorquens",31000,0,0,2133300,0,41500,0,125200,0,213400,0,191100,43800
"Pasteurella multocida",7907500,5704200,8109700,2350300,983600,3544400,11314800,2643300,1499800,4367900,13004000,4085000,7118400
"Paucibacter sp. KCTC 42545",1406200,3753300,1554600,1104000,396800,1937800,97800,1214800,959300,1296300,360300,2598100,1324800
"Phenylobacterium zucineum",442400,239000,229900,447800,88200,419800,494100,440200,285100,223400,103000,467600,606600
"Polaromonas naphthalenivorans",6047400,4966400,5688000,684700,234900,9336100,594800,1063400,604700,1100200,1203400,11345300,6118100
"Polaromonas sp. JS666",1193500,1105300,787200,347800,64000,1300600,54600,352100,2016900,562000,180400,2193800,935100
"Pseudomonas aeruginosa",3451000,4856700,3884700,12883400,575300,10751200,536600,2700100,3281500,3263600,4509000,6742100,4797200
"Pseudomonas protegens",7000,324000,8100,2088900,1500,20200,0,2163100,0,8400,7300,1415200,9900
"Pseudomonas tolaasii",12600,0,13600,0,1470900,0,3200,3800,103100,0,0,0,16400
"Ralstonia solanacearum",202300,321900,256400,399800,119600,289000,17500,303100,1928400,135300,54200,372200,199200
"Ramlibacter tataouinensis",864900,931400,1089400,820900,204600,1443000,810400,728900,1086700,757500,317100,1727500,962100
