"","Dias17","Dias18","Dias19","Dias20","Dias21","Dias22","Dias23","Dias24","Dias25","Dias26","Dias27","Dias28","Dias29"
"5_8S_rRNA",1871,1781,2158,1164,412,1113,4220,571,1502,842,3990,764,2049
"5S_rRNA",21737,18363,17868,9733,2462,6168,56809,4642,7762,8073,27268,4940,18832
"A1BG",0,0,0,0,0,0,0,0,0,0,0,0,0
"A1CF",31,31,0,0,0,0,5,0,0,2,43,43,5
"A2ML1",2,1,0,0,0,3,0,0,16,0,3,0,0
"A3GALT2",11,0,7,0,10,0,0,8,4,0,0,16,2
"A4GALT",0,51,1,0,0,0,0,0,0,94,20,0,3
"AAAS",28,40,161,162,11,6,107,6,24,0,116,1,7
"AACS",45,40,1,29,7,2,74,60,97,2,64,1,97
"AADAC",0,0,0,0,0,0,0,0,0,0,2,0,1
"AADACL2",0,0,0,0,0,0,0,2,0,0,0,0,0
"AADACL3",0,0,0,0,0,0,0,0,0,0,0,0,0
"AADACL4",2,2,0,48,0,5,0,0,0,0,26,0,0
"AADAT",0,0,0,0,0,0,0,0,0,0,0,0,0
"AAGAB",154,34,0,12,12,1,181,254,150,3,39,0,97
"AAK1",256,251,523,66,78,10,194,69,174,198,408,18,176
"AAMDC",10,98,0,26,0,0,17,53,175,1,45,0,0
"AAMP",488,373,497,235,165,56,901,54,396,12,1232,225,87
"AANAT",0,0,0,0,0,1,0,0,0,0,0,0,0
"AAR2",46,26,0,0,35,16,14,0,0,159,189,1,32
"AARD",0,0,0,0,0,0,7,1,0,0,0,0,0
"AARS1",252,315,633,304,71,69,461,122,15,233,601,18,176
"AARS2",45,25,6,20,11,0,9,0,0,1,93,0,4
"AASDH",33,33,0,6,32,0,0,2,112,0,32,0,88
"AASDHPPT",147,47,6,11,51,0,0,5,0,13,237,0,0
"AASS",76,0,4,5,3,122,10,0,11,0,44,0,5
"AATF",100,183,19,262,112,2,75,43,0,384,132,6,143
"AATK",167,62,197,38,46,44,22,10,6,4,189,9,65
"ABAT",10,33,58,3,17,128,134,3,74,33,99,10,30
"ABCA1",670,561,3199,454,258,173,563,238,377,279,568,100,300
"ABCA12",69,0,0,0,0,0,0,5,4,0,82,1,0
"ABCA13",713,591,78,24,82,5,977,2,9,3,1478,12,449
"ABCA2",205,324,1318,117,152,243,683,235,80,84,784,69,488
"ABCA3",221,155,266,153,23,27,458,17,88,32,770,51,146
"ABCA4",7,5,160,0,3,0,68,5,11,0,38,7,1
"ABCA5",333,361,10,14,0,0,494,0,3,52,622,147,444
"ABCA6",15,3,45,7,0,0,34,0,2,0,22,0,12
"ABCA7",129,61,71,9,0,6,21,6,1,17,215,0,97
"ABCA8",38,18,148,7,10,0,46,101,148,9,100,0,30
"ABCA9",23,70,12,125,44,14,70,3,0,1,75,0,40
"ABCB1",159,154,530,199,104,2,604,74,5,28,338,11,78
"ABCB10",5,42,78,1,3,9,1,49,0,0,25,0,8
"ABCB11",0,8,0,0,6,0,1,0,0,0,13,3,0
"ABCB5",0,0,0,0,45,0,0,0,0,0,0,0,0
"ABCB7",205,161,48,24,114,221,201,0,189,55,250,28,316
"ABCB8",12,14,304,5,46,0,2,0,24,2,9,1,17
"ABCB9",4,44,92,10,5,78,47,13,2,1,25,1,2
"ABCC1",731,948,535,699,194,13,855,330,213,66,828,17,631
"ABCC10",60,91,6,12,22,1,3,13,0,1,139,2,2
"ABCC11",29,0,0,67,5,0,0,0,0,2,13,0,32
"ABCC12",2,9,5,12,1,42,4,6,1,0,5,17,19
"ABCC13",2,13,59,2,37,0,0,2,7,0,2,0,14
"ABCC2",0,0,1,0,0,0,1,0,2,47,0,0,0
"ABCC3",384,83,241,1,5,0,154,6,40,1,541,7,76
"ABCC4",192,218,17,31,7,7,173,8,25,346,760,22,187
"ABCC5",701,377,415,91,103,4,664,88,31,68,936,39,229
"ABCC6",2,6,0,0,1,7,1,0,9,1,10,14,8
"ABCC8",0,3,3,8,12,0,11,2,0,0,53,6,107
"ABCC9",24,3,9,52,5,91,1,0,25,44,74,0,0
