"","x"
"1","5S_rRNA"
"2","A3GALT2"
"3","AADACL3"
"4","AADACL4"
"5","ABCA4"
"6","ABCB10"
"7","ACAP3"
"8","ACBD3"
"9","ACBD6"
"10","ACOT11"
"11","ACOT7"
"12","ACP6"
"13","ACTA1"
"14","ACTL8"
"15","ACTRT2"
"16","ADAM15"
"17","ADAM30"
"18","ADAMTS4"
"19","ADAMTSL4"
"20","ADAR"
"21","ADGRL4"
"22","ADIPOR1"
"23","ADORA1"
"24","ADPRS"
"25","ADSS2"
"26","AGL"
"27","AGMAT"
"28","AGO3"
"29","AGRN"
"30","AGTRAP"
"31","AHCTF1"
"32","AHCYL1"
"33","AHDC1"
"34","AIDA"
"35","AIM2"
"36","AK2"
"37","AKIRIN1"
"38","AKR1A1"
"39","AKR7A2"
"40","AKR7A3"
"41","AKT3"
"42","ALDH4A1"
"43","ALDH9A1"
"44","ALPL"
"45","ALX3"
"46","AMPD1"
"47","AMPD2"
"48","AMY2B"
"49","ANGEL2"
"50","ANGPTL3"
"51","ANGPTL7"
"52","ANKRD34A"
"53","ANKRD65"
"54","ANXA9"
"55","AQP10"
"56","ARF1"
"57","ARHGEF10L"
"58","ARHGEF11"
"59","ARHGEF16"
"60","ARHGEF19"
"61","ARID1A"
"62","ARID4B"
"63","ARL8A"
"64","ARNT"
"65","ARV1"
"66","ASB17"
"67","ASH1L"
"68","ASTN1"
"69","ATF3"
"70","ATP13A2"
"71","ATP1A1"
"72","ATP1A2"
"73","ATP1B1"
"74","ATP2B4"
"75","ATP5PB"
"76","ATP6V1G3"
"77","ATP8B2"
"78","ATPAF1"
"79","AUNIP"
"80","AURKAIP1"
"81","AVPR1B"
"82","AZIN2"
"83","B3GALNT2"
"84","B3GALT2"
"85","B3GALT6"
"86","B4GALT3"
"87","BARHL2"
"88","BCAN"
"89","BCAS2"
"90","BCL10"
"91","BCL9"
"92","BEST4"
"93","BGLAP"
"94","BNIPL"
"95","BOLA1"
"96","BRINP2"
"97","BROX"
"98","BSDC1"
"99","BSND"
"100","BTBD19"
"101","BTF3L4"
"102","BTG2"
"103","C1H1orf100"
"104","C1H1orf105"
"105","C1H1orf109"
"106","C1H1orf116"
"107","C1H1orf122"
"108","C1H1orf131"
"109","C1H1orf158"
"110","C1H1orf159"
"111","C1H1orf162"
"112","C1H1orf167"
"113","C1H1orf185"
"114","C1H1orf198"
"115","C1H1orf21"
"116","C1H1orf232"
"117","C1H1orf35"
"118","C1H1orf43"
"119","C1H1orf52"
"120","C1H1orf56"
"121","C1H1orf68"
"122","C1orf194"
"123","C1orf210"
"124","C1orf216"
"125","C1orf74"
"126","C1QC"
"127","C1QTNF12"
"128","C4BPA"
"129","C4BPB"
"130","C8B"
"131","CACHD1"
"132","CACNA1S"
"133","CACYBP"
"134","CALML6"
"135","CAMK1G"
"136","CAMK2N1"
"137","CAP1"
"138","CAPN2"
"139","CAPN8"
"140","CAPN9"
"141","CAPZB"
"142","CASQ1"
"143","CASZ1"
"144","CATSPER4"
"145","CCDC185"
"146","CCDC190"
"147","CCDC27"
"148","CCDC28B"
"149","CCDC30"
"150","CCN1"
"151","CCSAP"
"152","CCT3"
"153","CD101"
"154","CD160"
"155","CD2"
"156","CD244"
"157","CD247"
"158","CD46"
"159","CD48"
"160","CD52"
"161","CD55"
"162","CD58"
"163","CD5L"
"164","CD84"
"165","CDA"
"166","CDC20"
"167","CDC42"
"168","CDC42SE1"
"169","CDC7"
"170","CDCA8"
"171","CDCP2"
"172","CDK18"
"173","CELA3B"
"174","CELSR2"
"175","CENPF"
"176","CEP104"
"177","CEP85"
"178","CEPT1"
"179","CERS2"
"180","CFAP126"
"181","CFAP45"
"182","CFAP57"
"183","CHD5"
"184","CHI3L1"
"185","CHI3L2"
"186","CHIA"
"187","CHIT1"
"188","CHRNB2"
"189","CHTOP"
"190","CITED4"
"191","CKS1B"
"192","CLCC1"
"193","CLCN6"
"194","CLCNKB"
"195","CLDN19"
"196","CLEC20A"
"197","CLIC4"
"198","CLK2"
"199","CLSPN"
"200","CLSTN1"
"201","CMPK1"
"202","CNKSR1"
"203","CNN3"
"204","CNR2"
"205","CNST"
"206","COA7"
"207","COL16A1"
"208","COL8A2"
"209","COL9A2"
"210","COPA"
"211","COX20"
"212","CPLANE2"
"213","CPTP"
"214","CR1"
"215","CR1L"
"216","CR2"
"217","CRABP2"
"218","CREB3L4"
"219","CREG1"
"220","CROCC"
"221","CRTC2"
"222","CRYBG2"
"223","CRYZ"
"224","CSDE1"
"225","CSF1"
"226","CTPS1"
"227","CTSS"
"228","CYB5R1"
"229","CYP4A11"
"230","CYP4A45"
"231","CYP4B1"
"232","CYP4X1"
"233","DAB1"
"234","DAP3"
"235","DBT"
"236","DCAF8"
"237","DCDC2B"
"238","DCST1"
"239","DCST2"
"240","DDAH1"
"241","DDOST"
"242","DDR2"
"243","DDX20"
"244","DDX59"
"245","DEGS1"
"246","DENND2C"
"247","DENND2D"
"248","DEPDC1"
"249","DESI2"
"250","DFFA"
"251","DFFB"
"252","DHCR24"
"253","DHDDS"
"254","DHX9"
"255","DIO1"
"256","DLGAP3"
"257","DMBX1"
"258","DMRTB1"
"259","DNAI3"
"260","DNAI4"
"261","DNAJB4"
"262","DNAJC11"
"263","DNAJC8"
"264","DNALI1"
"265","DNASE2B"
"266","DNTTIP2"
"267","DPT"
"268","DRAXIN"
"269","DUSP10"
"270","DVL1"
"271","DYNLT4"
"272","DYNLT5"
"273","DYRK3"
"274","ECE1"
"275","ECHDC2"
"276","ECM1"
"277","EDN2"
"278","EFCAB2"
"279","EFNA1"
"280","EGLN1"
"281","EIF2B3"
"282","EIF2D"
"283","EIF3I"
"284","EIF4G3"
"285","ELF3"
"286","ELK4"
"287","ELOA"
"288","EMC1"
"289","ENAH"
"290","ENO1"
"291","ENSA"
"292","ENSMMUG00000000404"
"293","ENSMMUG00000000813"
"294","ENSMMUG00000001549"
"295","ENSMMUG00000001894"
"296","ENSMMUG00000002454"
"297","ENSMMUG00000004318"
"298","ENSMMUG00000004441"
"299","ENSMMUG00000004509"
"300","ENSMMUG00000004832"
"301","ENSMMUG00000005010"
"302","ENSMMUG00000006904"
"303","ENSMMUG00000007291"
"304","ENSMMUG00000007527"
"305","ENSMMUG00000008506"
"306","ENSMMUG00000009114"
"307","ENSMMUG00000009347"
"308","ENSMMUG00000010773"
"309","ENSMMUG00000011149"
"310","ENSMMUG00000011435"
"311","ENSMMUG00000012505"
"312","ENSMMUG00000013779"
"313","ENSMMUG00000014075"
"314","ENSMMUG00000014849"
"315","ENSMMUG00000015083"
"316","ENSMMUG00000015949"
"317","ENSMMUG00000016234"
"318","ENSMMUG00000017095"
"319","ENSMMUG00000017266"
"320","ENSMMUG00000017368"
"321","ENSMMUG00000017966"
"322","ENSMMUG00000018240"
"323","ENSMMUG00000018263"
"324","ENSMMUG00000018891"
"325","ENSMMUG00000020200"
"326","ENSMMUG00000021266"
"327","ENSMMUG00000023030"
"328","ENSMMUG00000023144"
"329","ENSMMUG00000023311"
"330","ENSMMUG00000023395"
"331","ENSMMUG00000023397"
"332","ENSMMUG00000024102"
"333","ENSMMUG00000024421"
"334","ENSMMUG00000024535"
"335","ENSMMUG00000024665"
"336","ENSMMUG00000025132"
"337","ENSMMUG00000025148"
"338","ENSMMUG00000025533"
"339","ENSMMUG00000025554"
"340","ENSMMUG00000026062"
"341","ENSMMUG00000026127"
"342","ENSMMUG00000026424"
"343","ENSMMUG00000026730"
"344","ENSMMUG00000026875"
"345","ENSMMUG00000026944"
"346","ENSMMUG00000026958"
"347","ENSMMUG00000027037"
"348","ENSMMUG00000027793"
"349","ENSMMUG00000028667"
"350","ENSMMUG00000029649"
"351","ENSMMUG00000031107"
"352","ENSMMUG00000031191"
"353","ENSMMUG00000031198"
"354","ENSMMUG00000031200"
"355","ENSMMUG00000031232"
"356","ENSMMUG00000031260"
"357","ENSMMUG00000031378"
"358","ENSMMUG00000031435"
"359","ENSMMUG00000031908"
"360","ENSMMUG00000031997"
"361","ENSMMUG00000032231"
"362","ENSMMUG00000032677"
"363","ENSMMUG00000032777"
"364","ENSMMUG00000032811"
"365","ENSMMUG00000033160"
"366","ENSMMUG00000033542"
"367","ENSMMUG00000034048"
"368","ENSMMUG00000034050"
"369","ENSMMUG00000034081"
"370","ENSMMUG00000035645"
"371","ENSMMUG00000035687"
"372","ENSMMUG00000035843"
"373","ENSMMUG00000036006"
"374","ENSMMUG00000036268"
"375","ENSMMUG00000036486"
"376","ENSMMUG00000036792"
"377","ENSMMUG00000036811"
"378","ENSMMUG00000036858"
"379","ENSMMUG00000036962"
"380","ENSMMUG00000037423"
"381","ENSMMUG00000037731"
"382","ENSMMUG00000038185"
"383","ENSMMUG00000038667"
"384","ENSMMUG00000038839"
"385","ENSMMUG00000039212"
"386","ENSMMUG00000039344"
"387","ENSMMUG00000039527"
"388","ENSMMUG00000039595"
"389","ENSMMUG00000039930"
"390","ENSMMUG00000040271"
"391","ENSMMUG00000040425"
"392","ENSMMUG00000040630"
"393","ENSMMUG00000041183"
"394","ENSMMUG00000041725"
"395","ENSMMUG00000041825"
"396","ENSMMUG00000042158"
"397","ENSMMUG00000042187"
"398","ENSMMUG00000042232"
"399","ENSMMUG00000042487"
"400","ENSMMUG00000043047"
"401","ENSMMUG00000043311"
"402","ENSMMUG00000043556"
"403","ENSMMUG00000043588"
"404","ENSMMUG00000044046"
"405","ENSMMUG00000044166"
"406","ENSMMUG00000044696"
"407","ENSMMUG00000045167"
"408","ENSMMUG00000045342"
"409","ENSMMUG00000045959"
"410","ENSMMUG00000046023"
"411","ENSMMUG00000046184"
"412","ENSMMUG00000046645"
"413","ENSMMUG00000047409"
"414","ENSMMUG00000047794"
"415","ENSMMUG00000047853"
"416","ENSMMUG00000048085"
"417","ENSMMUG00000048289"
"418","ENSMMUG00000048493"
"419","ENSMMUG00000048762"
"420","ENSMMUG00000048805"
"421","ENSMMUG00000049141"
"422","ENSMMUG00000049264"
"423","ENSMMUG00000049281"
"424","ENSMMUG00000049286"
"425","ENSMMUG00000049307"
"426","ENSMMUG00000049341"
"427","ENSMMUG00000049388"
"428","ENSMMUG00000049415"
"429","ENSMMUG00000049444"
"430","ENSMMUG00000049505"
"431","ENSMMUG00000049510"
"432","ENSMMUG00000049561"
"433","ENSMMUG00000049574"
"434","ENSMMUG00000049609"
"435","ENSMMUG00000049630"
"436","ENSMMUG00000049678"
"437","ENSMMUG00000049685"
"438","ENSMMUG00000049738"
"439","ENSMMUG00000049830"
"440","ENSMMUG00000049839"
"441","ENSMMUG00000049840"
"442","ENSMMUG00000049843"
"443","ENSMMUG00000049847"
"444","ENSMMUG00000049877"
"445","ENSMMUG00000049884"
"446","ENSMMUG00000049901"
"447","ENSMMUG00000049952"
"448","ENSMMUG00000050045"
"449","ENSMMUG00000050086"
"450","ENSMMUG00000050170"
"451","ENSMMUG00000050205"
